,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,103.72
1,,Algeria,62.66
2,,Argentina,110.04
3,,Armenia,77.70
4,,Australia,107.24
5,,Austria,131.53
6,,Azerbaijan,67.04
7,,Bahamas,112.50
8,,Bahrain,74.63
9,,Bangladesh,44.77
10,,Belarus,91.22
11,,Belgium,141.47
12,,Belize,89.67
13,,Bolivia,76.22
14,,Bosnia And Herzegovina,88.87
15,,Brazil,66.35
16,,Bulgaria,77.69
17,,Cambodia,46.07
18,,Canada,96.23
19,,Chile,87.89
20,,China,99.40
21,,Colombia,75.28
22,,Costa Rica,101.00
23,,Croatia,96.85
24,,Cyprus,110.46
25,,Czech Republic,103.03
26,,Denmark,158.48
27,,Dominican Republic,97.18
28,,Ecuador,100.62
29,,Egypt,65.41
30,,El Salvador,77.27
31,,Estonia,106.64
32,,Fiji,59.71
33,,Finland,131.39
34,,France,134.97
35,,Georgia,92.75
36,,Germany,118.84
37,,Ghana,-
38,,Greece,103.53
39,,Guatemala,88.64
40,,Hong Kong,127.98
41,,Hungary,94.86
42,,Iceland,227.41
43,,India,40.07
44,,Indonesia,80.54
45,,Iran,75.72
46,,Iraq,38.29
47,,Ireland,101.84
48,,Israel,122.15
49,,Italy,137.22
50,,Jamaica,72.69
51,,Japan,101.49
52,,Jordan,85.72
53,,Kazakhstan,103.04
54,,Kenya,49.24
55,,Kosovo (Disputed Territory),41.94
56,,Kuwait,84.33
57,,Latvia,119.14
58,,Lebanon,110.63
59,,Lithuania,112.44
60,,Luxembourg,144.03
61,,Macedonia,84.13
62,,Malaysia,66.14
63,,Malta,93.36
64,,Mauritius,85.22
65,,Mexico,60.79
66,,Moldova,92.17
67,,Montenegro,101.21
68,,Morocco,70.85
69,,Namibia,100.91
70,,Nepal,41.12
71,,Netherlands,136.83
72,,New Zealand,111.31
73,,Nigeria,64.22
74,,Norway,158.60
75,,Oman,68.13
76,,Pakistan,38.03
77,,Panama,78.24
78,,Peru,74.46
79,,Philippines,64.92
80,,Poland,83.49
81,,Portugal,94.54
82,,Puerto Rico,86.25
83,,Qatar,89.51
84,,Romania,83.26
85,,Russia,104.75
86,,Saudi Arabia,73.92
87,,Serbia,96.85
88,,Singapore,91.79
89,,Slovakia,83.35
90,,Slovenia,108.55
91,,South Africa,88.90
92,,South Korea,124.37
93,,Spain,102.40
94,,Sri Lanka,32.45
95,,Sweden,138.52
96,,Switzerland,162.55
97,,Taiwan,125.44
98,,Tanzania,48.20
99,,Thailand,85.58
100,,Trinidad And Tobago,84.89
101,,Tunisia,55.25
102,,Turkey,54.11
103,,Uganda,39.17
104,,Ukraine,106.10
105,,United Arab Emirates,80.95
106,,United Kingdom,83.34
107,,United States,96.14
108,,Uruguay,125.08
109,,Uzbekistan,85.05
110,,Venezuela,70.36
111,,Vietnam,86.68
112,,Zimbabwe,80.50
