,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.63
1,,Algeria,0.16
2,,Argentina,1.20
3,,Armenia,0.48
4,,Australia,1.89
5,,Austria,2.01
6,,Azerbaijan,0.28
7,,Bahrain,1.30
8,,Bangladesh,0.62
9,,Belarus,0.57
10,,Belgium,1.99
11,,Bolivia,1.14
12,,Bosnia And Herzegovina,0.63
13,,Brazil,1.13
14,,Bulgaria,0.65
15,,Cambodia,1.48
16,,Canada,2.10
17,,Chile,1.06
18,,China,1.61
19,,Colombia,0.85
20,,Costa Rica,1.30
21,,Croatia,1.08
22,,Cyprus,1.77
23,,Czech Republic,1.04
24,,Denmark,3.02
25,,Dominican Republic,1.59
26,,Ecuador,1.67
27,,Egypt,0.61
28,,Estonia,0.87
29,,Finland,2.19
30,,France,1.66
31,,Georgia,0.35
32,,Germany,1.61
33,,Ghana,1.06
34,,Greece,0.93
35,,Guatemala,2.16
36,,Hong Kong,1.94
37,,Hungary,0.79
38,,Iceland,3.43
39,,India,0.47
40,,Indonesia,1.13
41,,Iran,0.63
42,,Iraq,0.87
43,,Ireland,1.63
44,,Israel,2.11
45,,Italy,1.81
46,,Japan,1.94
47,,Jordan,0.42
48,,Kazakhstan,0.36
49,,Kenya,0.48
50,,Kosovo (Disputed Territory),0.37
51,,Kuwait,0.94
52,,Latvia,0.98
53,,Lebanon,1.01
54,,Lithuania,0.99
55,,Luxembourg,2.81
56,,Malaysia,0.77
57,,Malta,1.37
58,,Mauritius,0.65
59,,Mexico,1.47
60,,Moldova,0.33
61,,Montenegro,0.64
62,,Morocco,0.57
63,,Nepal,0.51
64,,Netherlands,1.69
65,,New Zealand,1.63
66,,Nigeria,1.05
67,,North Macedonia,0.52
68,,Norway,2.94
69,,Oman,1.02
70,,Pakistan,0.47
71,,Panama,1.89
72,,Peru,1.54
73,,Philippines,1.21
74,,Poland,0.82
75,,Portugal,1.20
76,,Puerto Rico,2.29
77,,Qatar,1.40
78,,Romania,0.70
79,,Russia,0.56
80,,Saudi Arabia,0.77
81,,Serbia,0.47
82,,Singapore,1.64
83,,Slovakia,1.10
84,,Slovenia,1.22
85,,South Africa,0.81
86,,South Korea,2.44
87,,Spain,1.15
88,,Sri Lanka,0.37
89,,Sweden,2.28
90,,Switzerland,2.92
91,,Syria,0.82
92,,Taiwan,2.01
93,,Tanzania,0.70
94,,Thailand,1.32
95,,Trinidad And Tobago,1.90
96,,Tunisia,0.13
97,,Turkey,0.39
98,,Uganda,0.89
99,,Ukraine,0.55
100,,United Arab Emirates,1.26
101,,United Kingdom,1.22
102,,United States,2.77
103,,Uruguay,1.99
104,,Uzbekistan,0.26
105,,Venezuela,1.86
106,,Vietnam,0.74
