,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,15.98
1,,Algeria,38.23
2,,Argentina,42.57
3,,Armenia,15.28
4,,Australia,53.35
5,,Austria,22.55
6,,Azerbaijan,19.37
7,,Bahrain,39.26
8,,Bangladesh,46.36
9,,Belarus,11.18
10,,Belgium,42.68
11,,Bosnia And Herzegovina,14.85
12,,Brazil,24.42
13,,Bulgaria,8.34
14,,Cambodia,40.65
15,,Canada,45.45
16,,Chile,37.12
17,,China,19.94
18,,Colombia,31.21
19,,Costa Rica,46.44
20,,Croatia,23.34
21,,Cyprus,38.44
22,,Czech Republic,15.72
23,,Denmark,28.03
24,,Dominican Republic,45.27
25,,Ecuador,38.30
26,,Egypt,55.84
27,,Estonia,16.92
28,,Finland,20.06
29,,France,30.35
30,,Georgia,10.46
31,,Germany,25.65
32,,Greece,21.03
33,,Guatemala,52.14
34,,Hong Kong,25.47
35,,Hungary,14.14
36,,Iceland,58.56
37,,India,19.90
38,,Indonesia,26.36
39,,Iran,66.03
40,,Iraq,56.07
41,,Ireland,42.45
42,,Israel,21.26
43,,Italy,29.17
44,,Jamaica,34.78
45,,Japan,34.10
46,,Jordan,41.44
47,,Kazakhstan,21.61
48,,Kenya,45.20
49,,Kuwait,40.57
50,,Latvia,12.55
51,,Lebanon,55.57
52,,Lithuania,9.39
53,,Luxembourg,42.08
54,,Macedonia,11.42
55,,Malaysia,44.35
56,,Malta,24.18
57,,Mauritius,43.59
58,,Mexico,25.82
59,,Moldova,8.00
60,,Montenegro,25.97
61,,Morocco,21.72
62,,Nepal,53.97
63,,Netherlands,26.71
64,,New Zealand,58.74
65,,Nigeria,74.24
66,,Norway,39.94
67,,Oman,60.26
68,,Pakistan,26.96
69,,Panama,40.64
70,,Peru,41.04
71,,Philippines,47.51
72,,Poland,12.08
73,,Portugal,25.68
74,,Puerto Rico,52.85
75,,Qatar,71.95
76,,Romania,7.85
77,,Russia,7.07
78,,Saudi Arabia,37.89
79,,Serbia,14.19
80,,Singapore,30.80
81,,Slovakia,14.11
82,,Slovenia,29.88
83,,South Africa,62.60
84,,South Korea,22.50
85,,Spain,36.36
86,,Sri Lanka,25.72
87,,Sweden,28.19
88,,Switzerland,54.17
89,,Taiwan,23.33
90,,Tanzania,147.79
91,,Thailand,18.58
92,,Trinidad And Tobago,36.59
93,,Tunisia,21.08
94,,Turkey,20.58
95,,Ukraine,3.87
96,,United Arab Emirates,85.02
97,,United Kingdom,31.42
98,,United States,49.70
99,,Uruguay,29.25
100,,Venezuela,27.31
101,,Vietnam,11.37
102,,Zimbabwe,97.25
