,Rank,City,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
0,,Argentina,-
1,,Australia,-
2,,Austria,-
3,,Bangladesh,-
4,,Belgium,-
5,,Bosnia And Herzegovina,-
6,,Brazil,-
7,,Bulgaria,-
8,,Canada,-
9,,Chile,-
10,,China,-
11,,Colombia,-
12,,Costa Rica,-
13,,Croatia,-
14,,Cyprus,-
15,,Czech Republic,-
16,,Denmark,-
17,,Ecuador,-
18,,Egypt,-
19,,Estonia,-
20,,Finland,-
21,,France,-
22,,Germany,-
23,,Greece,-
24,,Hong Kong,-
25,,Hungary,-
26,,Iceland,-
27,,India,-
28,,Indonesia,-
29,,Iran,-
30,,Ireland,-
31,,Israel,-
32,,Italy,-
33,,Japan,-
34,,Jordan,-
35,,Latvia,-
36,,Lebanon,-
37,,Lithuania,-
38,,Macedonia,-
39,,Malaysia,-
40,,Malta,-
41,,Mexico,-
42,,Morocco,-
43,,Netherlands,-
44,,New Zealand,-
45,,Norway,-
46,,Pakistan,-
47,,Panama,-
48,,Peru,-
49,,Philippines,-
50,,Poland,-
51,,Portugal,-
52,,Puerto Rico,-
53,,Qatar,-
54,,Romania,-
55,,Russia,-
56,,Saudi Arabia,-
57,,Serbia,-
58,,Singapore,-
59,,Slovakia,-
60,,Slovenia,-
61,,South Africa,-
62,,South Korea,-
63,,Spain,-
64,,Sri Lanka,-
65,,Sweden,-
66,,Switzerland,-
67,,Syria,-
68,,Taiwan,-
69,,Thailand,-
70,,Tunisia,-
71,,Turkey,-
72,,Ukraine,-
73,,United Arab Emirates,-
74,,United Kingdom,-
75,,United States,-
76,,Uruguay,-
77,,Venezuela,-
78,,Vietnam,-
