,Rank,City,Eggs (regular) (12)
0,,Albania,1.68
1,,Algeria,1.22
2,,Argentina,1.89
3,,Armenia,1.52
4,,Australia,3.08
5,,Austria,3.49
6,,Azerbaijan,1.22
7,,Bahamas,3.45
8,,Bahrain,2.56
9,,Bangladesh,1.15
10,,Belarus,1.10
11,,Belgium,3.20
12,,Belize,2.13
13,,Bolivia,1.47
14,,Bosnia And Herzegovina,1.74
15,,Brazil,1.57
16,,Bulgaria,1.87
17,,Cambodia,1.59
18,,Canada,2.59
19,,Chile,2.97
20,,China,2.05
21,,Colombia,1.65
22,,Costa Rica,2.94
23,,Croatia,2.40
24,,Cyprus,2.90
25,,Czech Republic,2.10
26,,Denmark,3.58
27,,Dominican Republic,2.16
28,,Ecuador,1.59
29,,Egypt,1.06
30,,El Salvador,-
31,,Estonia,1.59
32,,Fiji,-
33,,Finland,2.22
34,,France,3.01
35,,Georgia,1.45
36,,Germany,2.32
37,,Ghana,-
38,,Greece,3.34
39,,Guatemala,1.69
40,,Hong Kong,3.46
41,,Hungary,1.96
42,,Iceland,5.76
43,,India,0.94
44,,Indonesia,1.40
45,,Iran,2.06
46,,Iraq,1.65
47,,Ireland,3.09
48,,Israel,3.47
49,,Italy,3.01
50,,Jamaica,2.95
51,,Japan,2.05
52,,Jordan,2.15
53,,Kazakhstan,1.01
54,,Kenya,1.79
55,,Kosovo (Disputed Territory),1.21
56,,Kuwait,1.91
57,,Latvia,2.01
58,,Lebanon,2.62
59,,Lithuania,1.80
60,,Luxembourg,4.26
61,,Macedonia,1.52
62,,Malaysia,1.32
63,,Malta,2.60
64,,Mauritius,-
65,,Mexico,1.40
66,,Moldova,1.44
67,,Montenegro,1.56
68,,Morocco,1.29
69,,Namibia,-
70,,Nepal,1.54
71,,Netherlands,2.79
72,,New Zealand,3.23
73,,Nigeria,1.37
74,,Norway,4.63
75,,Oman,2.59
76,,Pakistan,0.97
77,,Panama,2.13
78,,Peru,1.73
79,,Philippines,1.55
80,,Poland,2.20
81,,Portugal,2.04
82,,Puerto Rico,2.50
83,,Qatar,2.70
84,,Romania,2.39
85,,Russia,1.11
86,,Saudi Arabia,2.09
87,,Serbia,1.46
88,,Singapore,1.80
89,,Slovakia,2.34
90,,Slovenia,2.50
91,,South Africa,2.30
92,,South Korea,3.08
93,,Spain,1.93
94,,Sri Lanka,1.30
95,,Sweden,3.11
96,,Switzerland,5.19
97,,Taiwan,2.20
98,,Tanzania,2.33
99,,Thailand,1.56
100,,Trinidad And Tobago,3.25
101,,Tunisia,0.91
102,,Turkey,1.87
103,,Uganda,1.63
104,,Ukraine,1.19
105,,United Arab Emirates,2.14
106,,United Kingdom,2.52
107,,United States,2.35
108,,Uruguay,2.69
109,,Uzbekistan,1.07
110,,Venezuela,1.22
111,,Vietnam,1.27
112,,Zimbabwe,2.72
