,Rank,City,Cappuccino (regular)
0,,Albania,1.28
1,,Algeria,0.79
2,,Argentina,2.31
3,,Armenia,1.86
4,,Australia,3.23
5,,Austria,3.48
6,,Azerbaijan,2.39
7,,Bahamas,5.20
8,,Bahrain,4.65
9,,Bangladesh,1.73
10,,Belarus,1.55
11,,Belgium,3.20
12,,Belize,3.48
13,,Bolivia,2.22
14,,Bosnia And Herzegovina,1.14
15,,Brazil,1.60
16,,Bulgaria,1.32
17,,Cambodia,2.29
18,,Canada,3.19
19,,Chile,2.85
20,,China,4.32
21,,Colombia,1.35
22,,Costa Rica,2.72
23,,Croatia,1.71
24,,Cyprus,3.41
25,,Czech Republic,2.09
26,,Denmark,5.58
27,,Dominican Republic,1.84
28,,Ecuador,2.12
29,,Egypt,1.56
30,,El Salvador,2.50
31,,Estonia,2.91
32,,Fiji,2.82
33,,Finland,4.02
34,,France,3.20
35,,Georgia,1.58
36,,Germany,3.14
37,,Ghana,1.55
38,,Greece,3.36
39,,Guatemala,2.18
40,,Hong Kong,4.55
41,,Hungary,1.52
42,,Iceland,5.36
43,,India,1.64
44,,Indonesia,2.08
45,,Iran,2.50
46,,Iraq,2.07
47,,Ireland,3.52
48,,Israel,3.36
49,,Italy,1.57
50,,Jamaica,2.30
51,,Japan,3.52
52,,Jordan,3.70
53,,Kazakhstan,1.97
54,,Kenya,2.38
55,,Kosovo (Disputed Territory),1.19
56,,Kuwait,5.28
57,,Latvia,2.57
58,,Lebanon,3.17
59,,Lithuania,2.46
60,,Luxembourg,3.70
61,,Macedonia,1.26
62,,Malaysia,2.60
63,,Malta,2.15
64,,Mauritius,2.77
65,,Mexico,1.94
66,,Moldova,1.47
67,,Montenegro,1.65
68,,Morocco,1.62
69,,Namibia,1.87
70,,Nepal,1.68
71,,Netherlands,3.21
72,,New Zealand,3.14
73,,Nigeria,2.00
74,,Norway,4.94
75,,Oman,4.82
76,,Pakistan,1.96
77,,Panama,2.62
78,,Peru,2.48
79,,Philippines,2.04
80,,Poland,2.29
81,,Portugal,1.56
82,,Puerto Rico,2.34
83,,Qatar,4.86
84,,Romania,1.75
85,,Russia,2.11
86,,Saudi Arabia,2.86
87,,Serbia,1.38
88,,Singapore,3.67
89,,Slovakia,2.04
90,,Slovenia,1.63
91,,South Africa,2.02
92,,South Korea,4.32
93,,Spain,1.90
94,,Sri Lanka,2.41
95,,Sweden,4.01
96,,Switzerland,4.67
97,,Taiwan,2.47
98,,Tanzania,1.79
99,,Thailand,1.96
100,,Trinidad And Tobago,2.31
101,,Tunisia,0.68
102,,Turkey,2.00
103,,Uganda,1.78
104,,Ukraine,0.99
105,,United Arab Emirates,4.30
106,,United Kingdom,3.52
107,,United States,4.07
108,,Uruguay,2.82
109,,Uzbekistan,1.29
110,,Venezuela,0.69
111,,Vietnam,1.80
112,,Zimbabwe,2.71
