,Rank,City,Potato (1kg)
0,,Albania,0.61
1,,Algeria,0.39
2,,Argentina,0.64
3,,Armenia,0.48
4,,Australia,2.16
5,,Austria,1.56
6,,Azerbaijan,0.52
7,,Bahrain,1.09
8,,Bangladesh,0.37
9,,Belarus,0.51
10,,Belgium,1.64
11,,Bolivia,1.08
12,,Bosnia And Herzegovina,0.60
13,,Brazil,0.82
14,,Bulgaria,0.71
15,,Cambodia,1.53
16,,Canada,2.09
17,,Chile,0.94
18,,China,0.83
19,,Colombia,0.71
20,,Costa Rica,2.03
21,,Croatia,1.03
22,,Cyprus,0.81
23,,Czech Republic,0.93
24,,Denmark,1.89
25,,Dominican Republic,1.86
26,,Ecuador,1.05
27,,Egypt,0.38
28,,Estonia,0.71
29,,Finland,1.12
30,,France,1.93
31,,Georgia,0.46
32,,Germany,1.64
33,,Ghana,2.72
34,,Greece,0.93
35,,Guatemala,1.28
36,,Hong Kong,2.45
37,,Hungary,1.00
38,,Iceland,2.18
39,,India,0.44
40,,Indonesia,1.28
41,,Iran,0.74
42,,Iraq,0.71
43,,Ireland,1.89
44,,Israel,1.36
45,,Italy,1.39
46,,Japan,3.75
47,,Jordan,0.84
48,,Kazakhstan,0.40
49,,Kenya,0.86
50,,Kosovo (Disputed Territory),0.39
51,,Kuwait,1.00
52,,Latvia,0.55
53,,Lebanon,1.67
54,,Lithuania,0.48
55,,Luxembourg,-
56,,Malaysia,0.87
57,,Malta,1.96
58,,Mauritius,1.10
59,,Mexico,1.09
60,,Moldova,0.42
61,,Montenegro,0.55
62,,Morocco,0.47
63,,Nepal,0.43
64,,Netherlands,1.53
65,,New Zealand,1.84
66,,Nigeria,1.62
67,,North Macedonia,0.60
68,,Norway,2.05
69,,Oman,0.91
70,,Pakistan,0.36
71,,Panama,2.20
72,,Peru,0.77
73,,Philippines,1.86
74,,Poland,0.72
75,,Portugal,1.08
76,,Puerto Rico,3.51
77,,Qatar,1.09
78,,Romania,0.64
79,,Russia,0.51
80,,Saudi Arabia,1.00
81,,Serbia,0.59
82,,Singapore,1.86
83,,Slovakia,0.92
84,,Slovenia,1.06
85,,South Africa,1.11
86,,South Korea,3.38
87,,Spain,1.37
88,,Sri Lanka,0.99
89,,Sweden,1.24
90,,Switzerland,2.58
91,,Syria,0.71
92,,Taiwan,2.15
93,,Tanzania,0.76
94,,Thailand,1.31
95,,Trinidad And Tobago,1.15
96,,Tunisia,0.49
97,,Turkey,0.47
98,,Uganda,1.02
99,,Ukraine,0.51
100,,United Arab Emirates,1.00
101,,United Kingdom,1.33
102,,United States,2.50
103,,Uruguay,1.44
104,,Uzbekistan,0.43
105,,Venezuela,1.28
106,,Vietnam,1.21
