,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.12
1,,Algeria,1.55
2,,Argentina,3.10
3,,Armenia,1.11
4,,Australia,4.19
5,,Austria,1.65
6,,Azerbaijan,1.67
7,,Bahrain,-
8,,Bangladesh,3.77
9,,Belarus,1.59
10,,Belgium,2.23
11,,Bolivia,2.18
12,,Bosnia And Herzegovina,1.09
13,,Brazil,3.19
14,,Bulgaria,1.15
15,,Cambodia,1.52
16,,Canada,2.29
17,,Chile,2.16
18,,China,1.95
19,,Colombia,1.95
20,,Costa Rica,2.62
21,,Croatia,1.59
22,,Cyprus,1.66
23,,Czech Republic,1.17
24,,Denmark,2.16
25,,Dominican Republic,2.89
26,,Ecuador,2.75
27,,Egypt,1.54
28,,Estonia,1.63
29,,Finland,3.05
30,,France,2.29
31,,Georgia,1.27
32,,Germany,1.38
33,,Greece,1.74
34,,Guatemala,2.25
35,,Hong Kong,2.16
36,,Hungary,1.18
37,,Iceland,3.49
38,,India,2.61
39,,Indonesia,2.73
40,,Iran,1.22
41,,Iraq,2.24
42,,Ireland,2.71
43,,Israel,3.10
44,,Italy,1.69
45,,Jamaica,-
46,,Japan,3.14
47,,Jordan,6.90
48,,Kazakhstan,1.39
49,,Kenya,2.48
50,,Kosovo (Disputed Territory),0.80
51,,Kuwait,-
52,,Latvia,1.33
53,,Lebanon,2.03
54,,Lithuania,1.35
55,,Luxembourg,-
56,,Macedonia,1.04
57,,Malaysia,2.81
58,,Malta,1.74
59,,Mauritius,-
60,,Mexico,1.88
61,,Moldova,1.13
62,,Montenegro,1.18
63,,Morocco,2.54
64,,Nepal,3.37
65,,Netherlands,1.62
66,,New Zealand,3.72
67,,Nigeria,1.78
68,,Norway,4.06
69,,Oman,2.55
70,,Pakistan,4.70
71,,Panama,2.14
72,,Peru,2.17
73,,Philippines,1.67
74,,Poland,1.12
75,,Portugal,1.57
76,,Puerto Rico,2.86
77,,Qatar,10.48
78,,Romania,1.23
79,,Russia,2.10
80,,Saudi Arabia,1.00
81,,Serbia,0.87
82,,Singapore,4.20
83,,Slovakia,1.27
84,,Slovenia,1.74
85,,South Africa,2.11
86,,South Korea,2.93
87,,Spain,1.39
88,,Sri Lanka,3.30
89,,Sweden,1.95
90,,Switzerland,2.28
91,,Taiwan,2.05
92,,Tanzania,1.45
93,,Thailand,2.68
94,,Trinidad And Tobago,2.50
95,,Tunisia,0.83
96,,Turkey,2.59
97,,Ukraine,1.08
98,,United Arab Emirates,8.91
99,,United Kingdom,2.37
100,,United States,2.87
101,,Uruguay,2.75
102,,Venezuela,2.50
103,,Vietnam,1.14
104,,Zimbabwe,-
