,Rank,City,Average Monthly Net Salary (After Tax)
0,,Albania,366.49
1,,Algeria,267.48
2,,Argentina,762.75
3,,Armenia,333.20
4,,Australia,3422.99
5,,Austria,2308.15
6,,Azerbaijan,283.14
7,,Bahamas,1508.33
8,,Bahrain,1536.74
9,,Bangladesh,341.85
10,,Belarus,442.97
11,,Belgium,2241.24
12,,Belize,910.00
13,,Bolivia,455.97
14,,Bosnia And Herzegovina,503.15
15,,Brazil,469.16
16,,Bulgaria,655.54
17,,Cambodia,190.22
18,,Canada,2388.25
19,,Chile,863.16
20,,China,1002.47
21,,Colombia,353.66
22,,Costa Rica,776.83
23,,Croatia,925.68
24,,Cyprus,1270.80
25,,Czech Republic,1147.96
26,,Denmark,3241.18
27,,Dominican Republic,361.04
28,,Ecuador,520.21
29,,Egypt,175.52
30,,El Salvador,426.11
31,,Estonia,1213.77
32,,Fiji,602.90
33,,Finland,2662.31
34,,France,2281.51
35,,Georgia,320.94
36,,Germany,2604.86
37,,Ghana,-
38,,Greece,817.09
39,,Guatemala,664.52
40,,Hong Kong,2430.53
41,,Hungary,773.62
42,,Iceland,3581.76
43,,India,535.11
44,,Indonesia,299.41
45,,Iran,469.04
46,,Iraq,549.20
47,,Ireland,2647.91
48,,Israel,2233.85
49,,Italy,1625.74
50,,Jamaica,617.52
51,,Japan,2706.00
52,,Jordan,648.94
53,,Kazakhstan,421.62
54,,Kenya,374.70
55,,Kosovo (Disputed Territory),547.81
56,,Kuwait,2105.72
57,,Latvia,818.67
58,,Lebanon,1046.29
59,,Lithuania,866.99
60,,Luxembourg,3635.24
61,,Macedonia,368.79
62,,Malaysia,929.72
63,,Malta,1301.74
64,,Mauritius,499.27
65,,Mexico,494.10
66,,Moldova,311.34
67,,Montenegro,534.28
68,,Morocco,412.94
69,,Namibia,1033.36
70,,Nepal,222.77
71,,Netherlands,2738.27
72,,New Zealand,2667.28
73,,Nigeria,200.82
74,,Norway,3496.03
75,,Oman,1399.33
76,,Pakistan,277.28
77,,Panama,759.64
78,,Peru,458.93
79,,Philippines,300.88
80,,Poland,931.95
81,,Portugal,956.02
82,,Puerto Rico,1985.17
83,,Qatar,3289.97
84,,Romania,635.69
85,,Russia,649.47
86,,Saudi Arabia,1635.90
87,,Serbia,433.38
88,,Singapore,2975.78
89,,Slovakia,989.85
90,,Slovenia,1225.38
91,,South Africa,1261.45
92,,South Korea,2654.17
93,,Spain,1535.66
94,,Sri Lanka,279.69
95,,Sweden,2623.39
96,,Switzerland,5423.69
97,,Taiwan,1716.34
98,,Tanzania,-
99,,Thailand,648.20
100,,Trinidad And Tobago,938.73
101,,Tunisia,319.21
102,,Turkey,527.98
103,,Uganda,213.16
104,,Ukraine,319.71
105,,United Arab Emirates,2863.50
106,,United Kingdom,2497.96
107,,United States,3309.30
108,,Uruguay,894.91
109,,Uzbekistan,196.19
110,,Venezuela,27.78
111,,Vietnam,408.15
112,,Zimbabwe,450.00
