,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Albania,85.23
1,,Argentina,93.80
2,,Australia,98.75
3,,Austria,112.17
4,,Bahrain,30.54
5,,Bangladesh,40.34
6,,Belarus,103.37
7,,Belgium,94.16
8,,Bosnia And Herzegovina,80.84
9,,Brazil,96.23
10,,Bulgaria,62.31
11,,Cambodia,18.00
12,,Canada,56.87
13,,Chile,66.92
14,,China,107.94
15,,Colombia,80.57
16,,Costa Rica,52.45
17,,Croatia,91.35
18,,Cyprus,107.13
19,,Czech Republic,89.96
20,,Denmark,144.79
21,,Dominican Republic,58.84
22,,Ecuador,67.85
23,,Egypt,100.99
24,,Estonia,112.59
25,,Finland,112.82
26,,France,110.36
27,,Georgia,80.00
28,,Germany,98.12
29,,Greece,110.81
30,,Hong Kong,98.13
31,,Hungary,75.25
32,,Iceland,160.37
33,,India,38.31
34,,Indonesia,56.55
35,,Iran,77.04
36,,Iraq,48.33
37,,Ireland,89.93
38,,Israel,100.73
39,,Italy,109.42
40,,Japan,112.64
41,,Jordan,79.69
42,,Kazakhstan,90.07
43,,Kenya,67.91
44,,Kuwait,70.15
45,,Latvia,77.84
46,,Lebanon,85.06
47,,Lithuania,80.43
48,,Luxembourg,102.88
49,,Macedonia,63.56
50,,Malaysia,77.99
51,,Malta,106.58
52,,Mauritius,50.34
53,,Mexico,45.47
54,,Morocco,64.69
55,,Nepal,31.82
56,,Netherlands,102.01
57,,New Zealand,81.78
58,,Nigeria,69.50
59,,Norway,138.82
60,,Oman,-
61,,Pakistan,31.26
62,,Peru,45.62
63,,Philippines,56.14
64,,Poland,76.70
65,,Portugal,106.72
66,,Puerto Rico,40.66
67,,Qatar,85.58
68,,Romania,75.92
69,,Russia,105.84
70,,Saudi Arabia,64.58
71,,Serbia,96.15
72,,Singapore,87.47
73,,Slovakia,85.28
74,,Slovenia,104.81
75,,South Africa,72.59
76,,South Korea,82.75
77,,Spain,98.12
78,,Sri Lanka,21.05
79,,Sweden,131.95
80,,Switzerland,116.79
81,,Taiwan,69.84
82,,Tanzania,47.56
83,,Thailand,51.54
84,,Tunisia,64.66
85,,Turkey,68.55
86,,Ukraine,93.67
87,,United Arab Emirates,70.80
88,,United Kingdom,86.17
89,,United States,40.33
90,,Uruguay,120.88
91,,Venezuela,157.71
92,,Vietnam,50.79
