,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Argentina,1550.00
1,,Australia,6205.67
2,,Austria,2753.62
3,,Bangladesh,269.10
4,,Belgium,2898.55
5,,Bosnia And Herzegovina,1070.85
6,,Brazil,1716.10
7,,Bulgaria,876.52
8,,Canada,2413.86
9,,Chile,1631.25
10,,China,1772.94
11,,Colombia,1179.68
12,,Costa Rica,-
13,,Croatia,2031.54
14,,Cyprus,2318.84
15,,Czech Republic,2077.82
16,,Denmark,3180.76
17,,Ecuador,662.50
18,,Egypt,620.00
19,,Estonia,1521.74
20,,Finland,4521.74
21,,France,4943.69
22,,Germany,2657.97
23,,Greece,2480.51
24,,Hong Kong,4936.54
25,,Hungary,1332.96
26,,Iceland,2391.30
27,,India,742.51
28,,Indonesia,1541.77
29,,Iran,1540.91
30,,Ireland,2746.38
31,,Israel,3890.42
32,,Italy,3890.75
33,,Japan,20476.54
34,,Jordan,697.25
35,,Latvia,1001.97
36,,Lebanon,2100.00
37,,Lithuania,1602.00
38,,Macedonia,1272.14
39,,Malaysia,811.29
40,,Malta,1630.43
41,,Mexico,718.45
42,,Morocco,724.64
43,,Netherlands,3105.25
44,,New Zealand,2038.57
45,,Norway,5410.45
46,,Pakistan,683.75
47,,Panama,816.67
48,,Peru,900.00
49,,Philippines,359.55
50,,Poland,1952.08
51,,Portugal,1433.21
52,,Puerto Rico,1200.00
53,,Qatar,2710.60
54,,Romania,1172.59
55,,Russia,1689.81
56,,Saudi Arabia,1280.00
57,,Serbia,1373.91
58,,Singapore,7524.57
59,,Slovakia,1542.03
60,,Slovenia,3091.79
61,,South Africa,1112.44
62,,South Korea,3105.69
63,,Spain,3206.99
64,,Sri Lanka,215.28
65,,Sweden,3604.34
66,,Switzerland,7588.24
67,,Syria,900.00
68,,Taiwan,1000.00
69,,Thailand,927.80
70,,Tunisia,695.42
71,,Turkey,728.73
72,,Ukraine,1067.19
73,,United Arab Emirates,2789.35
74,,United Kingdom,2528.74
75,,United States,1277.45
76,,Uruguay,1747.60
77,,Venezuela,1366.67
78,,Vietnam,1100.00
