,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Albania,0.24
1,,Algeria,0.08
2,,Argentina,0.16
3,,Armenia,0.04
4,,Australia,0.30
5,,Austria,0.07
6,,Azerbaijan,0.03
7,,Bahrain,0.11
8,,Bangladesh,0.01
9,,Belarus,0.06
10,,Belgium,0.21
11,,Bolivia,0.17
12,,Bosnia And Herzegovina,0.12
13,,Brazil,0.34
14,,Brunei,-
15,,Bulgaria,0.16
16,,Cambodia,0.06
17,,Canada,0.26
18,,Chile,0.13
19,,China,0.03
20,,Colombia,0.05
21,,Costa Rica,0.07
22,,Croatia,0.12
23,,Cyprus,0.12
24,,Czech Republic,0.14
25,,Denmark,0.15
26,,Dominican Republic,0.16
27,,Ecuador,0.13
28,,Egypt,0.01
29,,El Salvador,0.09
30,,Estonia,0.05
31,,Ethiopia,0.01
32,,Finland,0.08
33,,France,0.25
34,,Georgia,0.08
35,,Germany,0.11
36,,Greece,0.40
37,,Guatemala,0.15
38,,Honduras,0.14
39,,Hong Kong,0.09
40,,Hungary,0.09
41,,Iceland,0.15
42,,India,0.01
43,,Indonesia,0.12
44,,Iran,0.01
45,,Iraq,0.09
46,,Ireland,0.33
47,,Israel,0.08
48,,Italy,0.18
49,,Jamaica,0.08
50,,Japan,0.36
51,,Jordan,0.05
52,,Kazakhstan,0.03
53,,Kenya,0.03
54,,Kosovo (Disputed Territory),0.06
55,,Kuwait,0.14
56,,Latvia,0.10
57,,Lebanon,0.33
58,,Lithuania,0.09
59,,Luxembourg,-
60,,Macedonia,0.11
61,,Malaysia,0.06
62,,Malta,0.34
63,,Mauritius,0.04
64,,Mexico,0.06
65,,Moldova,0.09
66,,Montenegro,0.16
67,,Morocco,0.13
68,,Namibia,0.13
69,,Nepal,0.02
70,,Netherlands,0.16
71,,New Zealand,0.27
72,,Nigeria,0.05
73,,Norway,0.13
74,,Oman,0.13
75,,Pakistan,0.02
76,,Palestinian Territory,0.14
77,,Panama,0.14
78,,Peru,0.17
79,,Philippines,0.14
80,,Poland,0.06
81,,Portugal,0.20
82,,Puerto Rico,-
83,,Qatar,0.16
84,,Romania,0.08
85,,Russia,0.03
86,,Saudi Arabia,0.12
87,,Serbia,0.12
88,,Singapore,0.15
89,,Slovakia,0.08
90,,Slovenia,0.09
91,,South Africa,0.11
92,,South Korea,0.14
93,,Spain,0.16
94,,Sri Lanka,0.01
95,,Sweden,0.12
96,,Switzerland,0.33
97,,Taiwan,0.14
98,,Thailand,0.06
99,,Trinidad And Tobago,0.19
100,,Tunisia,0.07
101,,Turkey,0.12
102,,Uganda,-
103,,Ukraine,0.04
104,,United Arab Emirates,0.13
105,,United Kingdom,0.11
106,,United States,0.13
107,,Uruguay,0.24
108,,Uzbekistan,-
109,,Venezuela,0.08
110,,Vietnam,0.08
