,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,7.91
1,,Algeria,14.88
2,,Argentina,19.45
3,,Armenia,12.54
4,,Australia,14.45
5,,Austria,20.70
6,,Azerbaijan,25.45
7,,Bahrain,18.04
8,,Bangladesh,9.43
9,,Belarus,17.12
10,,Belgium,19.14
11,,Bolivia,-
12,,Bosnia And Herzegovina,8.28
13,,Brazil,25.57
14,,Bulgaria,11.09
15,,Cambodia,-
16,,Canada,15.33
17,,Chile,18.26
18,,China,10.30
19,,Colombia,10.32
20,,Costa Rica,21.72
21,,Croatia,9.12
22,,Cyprus,16.77
23,,Czech Republic,10.35
24,,Denmark,26.74
25,,Dominican Republic,12.70
26,,Ecuador,22.71
27,,Egypt,8.98
28,,El Salvador,13.67
29,,Estonia,24.86
30,,Finland,24.70
31,,France,17.07
32,,Georgia,11.01
33,,Germany,19.61
34,,Greece,17.19
35,,Guatemala,-
36,,Hong Kong,8.10
37,,Hungary,11.76
38,,Iceland,28.28
39,,India,6.82
40,,Indonesia,8.25
41,,Iran,16.12
42,,Iraq,-
43,,Ireland,18.27
44,,Israel,13.86
45,,Italy,21.62
46,,Jamaica,-
47,,Japan,20.18
48,,Jordan,24.10
49,,Kazakhstan,8.68
50,,Kenya,6.26
51,,Kosovo (Disputed Territory),7.52
52,,Kuwait,52.71
53,,Latvia,21.08
54,,Lebanon,18.59
55,,Lithuania,20.29
56,,Luxembourg,19.30
57,,Macedonia,6.52
58,,Malaysia,6.26
59,,Malta,11.16
60,,Mauritius,11.05
61,,Mexico,11.85
62,,Moldova,5.92
63,,Montenegro,12.11
64,,Morocco,14.59
65,,Nepal,7.72
66,,Netherlands,21.60
67,,New Zealand,11.45
68,,Nigeria,12.56
69,,Norway,37.24
70,,Oman,17.47
71,,Pakistan,8.28
72,,Panama,16.20
73,,Peru,8.70
74,,Philippines,4.49
75,,Poland,12.26
76,,Portugal,11.29
77,,Puerto Rico,30.83
78,,Qatar,21.39
79,,Romania,11.86
80,,Russia,16.92
81,,Saudi Arabia,31.33
82,,Serbia,8.84
83,,Singapore,9.23
84,,Slovakia,10.48
85,,Slovenia,15.45
86,,South Africa,5.48
87,,South Korea,9.78
88,,Spain,14.35
89,,Sri Lanka,7.08
90,,Sweden,31.68
91,,Switzerland,40.34
92,,Taiwan,11.51
93,,Thailand,5.63
94,,Trinidad And Tobago,7.54
95,,Tunisia,7.31
96,,Turkey,18.17
97,,Ukraine,7.69
98,,United Arab Emirates,27.32
99,,United Kingdom,14.02
100,,United States,15.41
101,,Uruguay,14.32
102,,Venezuela,6.95
103,,Vietnam,8.33
104,,Zimbabwe,-
