,Rank,City,Apartment (3 bedrooms) in City Centre
0,,Albania,563.10
1,,Algeria,314.92
2,,Argentina,737.85
3,,Armenia,636.01
4,,Australia,2266.75
5,,Austria,1639.17
6,,Azerbaijan,598.67
7,,Bahamas,2437.50
8,,Bahrain,1800.29
9,,Bangladesh,379.89
10,,Belarus,552.33
11,,Belgium,1433.80
12,,Belize,709.67
13,,Bolivia,627.77
14,,Bosnia And Herzegovina,403.02
15,,Brazil,706.82
16,,Bulgaria,610.02
17,,Cambodia,1117.27
18,,Canada,1676.47
19,,Chile,912.99
20,,China,1463.83
21,,Colombia,593.66
22,,Costa Rica,906.63
23,,Croatia,718.87
24,,Cyprus,1180.39
25,,Czech Republic,1194.30
26,,Denmark,2110.89
27,,Dominican Republic,786.96
28,,Ecuador,672.20
29,,Egypt,307.87
30,,El Salvador,714.29
31,,Estonia,929.62
32,,Fiji,1650.01
33,,Finland,1502.98
34,,France,1738.30
35,,Georgia,595.58
36,,Germany,1696.14
37,,Ghana,-
38,,Greece,578.59
39,,Guatemala,965.74
40,,Hong Kong,4821.41
41,,Hungary,887.30
42,,Iceland,2809.41
43,,India,482.04
44,,Indonesia,827.18
45,,Iran,1152.45
46,,Iraq,690.26
47,,Ireland,2685.91
48,,Israel,1786.37
49,,Italy,1414.76
50,,Jamaica,946.66
51,,Japan,2099.96
52,,Jordan,684.57
53,,Kazakhstan,747.05
54,,Kenya,834.90
55,,Kosovo (Disputed Territory),491.46
56,,Kuwait,1831.72
57,,Latvia,748.75
58,,Lebanon,2011.13
59,,Lithuania,808.39
60,,Luxembourg,3021.72
61,,Macedonia,396.17
62,,Malaysia,800.17
63,,Malta,1683.80
64,,Mauritius,734.44
65,,Mexico,692.36
66,,Moldova,458.46
67,,Montenegro,565.83
68,,Morocco,624.18
69,,Namibia,1155.00
70,,Nepal,302.21
71,,Netherlands,2196.64
72,,New Zealand,1921.99
73,,Nigeria,2172.40
74,,Norway,2174.34
75,,Oman,1269.10
76,,Pakistan,370.62
77,,Panama,1598.15
78,,Peru,731.27
79,,Philippines,635.68
80,,Poland,924.11
81,,Portugal,1470.22
82,,Puerto Rico,1036.00
83,,Qatar,2923.30
84,,Romania,642.16
85,,Russia,1000.17
86,,Saudi Arabia,674.83
87,,Serbia,574.47
88,,Singapore,3384.29
89,,Slovakia,950.28
90,,Slovenia,951.50
91,,South Africa,1135.68
92,,South Korea,1790.78
93,,Spain,1362.48
94,,Sri Lanka,666.41
95,,Sweden,1638.09
96,,Switzerland,2856.04
97,,Taiwan,1204.36
98,,Tanzania,1007.55
99,,Thailand,1510.69
100,,Trinidad And Tobago,994.44
101,,Tunisia,336.96
102,,Turkey,531.86
103,,Uganda,769.15
104,,Ukraine,654.98
105,,United Arab Emirates,2551.96
106,,United Kingdom,1766.52
107,,United States,2295.07
108,,Uruguay,916.17
109,,Uzbekistan,479.17
110,,Venezuela,280.08
111,,Vietnam,859.66
112,,Zimbabwe,700.00
