,Rank,City,"International Primary School, Yearly for 1 Child"
0,,Albania,2418.20
1,,Algeria,2048.83
2,,Argentina,4260.39
3,,Armenia,2917.99
4,,Australia,12872.17
5,,Austria,17663.20
6,,Azerbaijan,5531.79
7,,Bahamas,7860.00
8,,Bahrain,5855.61
9,,Bangladesh,2884.09
10,,Belarus,6232.38
11,,Belgium,17917.62
12,,Belize,11166.67
13,,Bolivia,2548.16
14,,Bosnia And Herzegovina,3307.05
15,,Brazil,7283.02
16,,Bulgaria,4450.92
17,,Cambodia,4476.67
18,,Canada,11035.59
19,,Chile,7114.04
20,,China,17930.14
21,,Colombia,4772.36
22,,Costa Rica,9314.52
23,,Croatia,4557.96
24,,Cyprus,6080.98
25,,Czech Republic,9204.88
26,,Denmark,6819.60
27,,Dominican Republic,6882.03
28,,Ecuador,5977.78
29,,Egypt,2425.15
30,,El Salvador,-
31,,Estonia,8447.20
32,,Fiji,-
33,,Finland,3303.62
34,,France,14662.70
35,,Georgia,2276.46
36,,Germany,14632.20
37,,Ghana,-
38,,Greece,7329.03
39,,Guatemala,3973.55
40,,Hong Kong,15751.98
41,,Hungary,7091.45
42,,Iceland,-
43,,India,1978.90
44,,Indonesia,4879.03
45,,Iran,2255.44
46,,Iraq,2586.23
47,,Ireland,7474.02
48,,Israel,9788.96
49,,Italy,13502.17
50,,Jamaica,-
51,,Japan,19194.08
52,,Jordan,5672.99
53,,Kazakhstan,6037.63
54,,Kenya,8092.23
55,,Kosovo (Disputed Territory),3114.17
56,,Kuwait,6312.18
57,,Latvia,14013.78
58,,Lebanon,5862.61
59,,Lithuania,6909.57
60,,Luxembourg,16349.41
61,,Macedonia,3451.25
62,,Malaysia,6229.61
63,,Malta,8077.39
64,,Mauritius,4052.07
65,,Mexico,3578.00
66,,Moldova,3772.46
67,,Montenegro,-
68,,Morocco,3044.57
69,,Namibia,3796.06
70,,Nepal,1716.08
71,,Netherlands,8961.35
72,,New Zealand,11996.43
73,,Nigeria,1909.93
74,,Norway,6387.77
75,,Oman,6783.72
76,,Pakistan,1567.45
77,,Panama,9000.00
78,,Peru,5323.31
79,,Philippines,5177.28
80,,Poland,7201.99
81,,Portugal,7917.25
82,,Puerto Rico,7233.33
83,,Qatar,8841.48
84,,Romania,7190.14
85,,Russia,6667.91
86,,Saudi Arabia,4703.37
87,,Serbia,5464.79
88,,Singapore,19069.46
89,,Slovakia,6274.35
90,,Slovenia,-
91,,South Africa,4207.43
92,,South Korea,19514.45
93,,Spain,8406.97
94,,Sri Lanka,1341.71
95,,Sweden,4289.06
96,,Switzerland,26721.41
97,,Taiwan,13221.65
98,,Tanzania,-
99,,Thailand,11425.22
100,,Trinidad And Tobago,3098.26
101,,Tunisia,1927.58
102,,Turkey,6831.06
103,,Uganda,-
104,,Ukraine,3403.68
105,,United Arab Emirates,8974.74
106,,United Kingdom,17179.90
107,,United States,16550.09
108,,Uruguay,7822.52
109,,Uzbekistan,6726.75
110,,Venezuela,-
111,,Vietnam,7784.57
112,,Zimbabwe,8570.00
