,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.43
1,,Algeria,0.28
2,,Argentina,1.43
3,,Armenia,0.49
4,,Australia,1.52
5,,Austria,0.74
6,,Azerbaijan,0.49
7,,Bahrain,0.70
8,,Bangladesh,0.33
9,,Belarus,0.56
10,,Belgium,0.90
11,,Bolivia,0.89
12,,Bosnia And Herzegovina,0.60
13,,Brazil,0.89
14,,Bulgaria,0.52
15,,Cambodia,0.80
16,,Canada,1.57
17,,Chile,1.38
18,,China,0.54
19,,Colombia,1.08
20,,Costa Rica,1.98
21,,Croatia,1.00
22,,Cyprus,0.85
23,,Czech Republic,0.54
24,,Denmark,1.25
25,,Dominican Republic,0.83
26,,Ecuador,0.97
27,,Egypt,0.24
28,,Estonia,0.82
29,,Finland,1.73
30,,France,0.67
31,,Georgia,0.41
32,,Germany,0.63
33,,Greece,0.90
34,,Guatemala,0.90
35,,Hong Kong,1.53
36,,Hungary,0.38
37,,Iceland,2.62
38,,India,0.44
39,,Indonesia,0.45
40,,Iran,0.37
41,,Iraq,0.59
42,,Ireland,1.43
43,,Israel,1.26
44,,Italy,0.43
45,,Jamaica,-
46,,Japan,1.08
47,,Jordan,0.61
48,,Kazakhstan,0.57
49,,Kenya,0.73
50,,Kosovo (Disputed Territory),0.34
51,,Kuwait,0.42
52,,Latvia,0.71
53,,Lebanon,0.69
54,,Lithuania,0.76
55,,Luxembourg,-
56,,Macedonia,0.43
57,,Malaysia,0.55
58,,Malta,0.90
59,,Mauritius,0.76
60,,Mexico,0.76
61,,Moldova,0.54
62,,Montenegro,0.59
63,,Morocco,0.62
64,,Nepal,0.36
65,,Netherlands,1.00
66,,New Zealand,1.39
67,,Nigeria,0.51
68,,Norway,2.50
69,,Oman,0.58
70,,Pakistan,0.52
71,,Panama,1.39
72,,Peru,0.84
73,,Philippines,0.64
74,,Poland,0.49
75,,Portugal,0.57
76,,Puerto Rico,1.76
77,,Qatar,0.51
78,,Romania,0.58
79,,Russia,0.66
80,,Saudi Arabia,0.55
81,,Serbia,0.44
82,,Singapore,1.49
83,,Slovakia,0.67
84,,Slovenia,0.74
85,,South Africa,1.12
86,,South Korea,1.13
87,,Spain,0.67
88,,Sri Lanka,0.63
89,,Sweden,1.62
90,,Switzerland,1.22
91,,Taiwan,1.24
92,,Tanzania,0.89
93,,Thailand,0.48
94,,Trinidad And Tobago,1.19
95,,Tunisia,0.26
96,,Turkey,0.43
97,,Ukraine,0.38
98,,United Arab Emirates,0.57
99,,United Kingdom,1.31
100,,United States,1.81
101,,Uruguay,1.39
102,,Venezuela,0.80
103,,Vietnam,0.50
104,,Zimbabwe,1.13
