,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,19.91
1,,Algeria,20.09
2,,Argentina,40.00
3,,Armenia,20.90
4,,Australia,60.84
5,,Austria,49.18
6,,Azerbaijan,35.68
7,,Bahrain,41.11
8,,Bangladesh,11.57
9,,Belarus,35.00
10,,Belgium,65.57
11,,Bosnia And Herzegovina,16.75
12,,Brazil,28.26
13,,Bulgaria,22.35
14,,Cambodia,18.00
15,,Canada,47.83
16,,Chile,32.03
17,,China,22.58
18,,Colombia,23.39
19,,Costa Rica,35.65
20,,Croatia,28.86
21,,Cyprus,43.72
22,,Czech Republic,20.90
23,,Denmark,87.90
24,,Dominican Republic,37.92
25,,Ecuador,25.00
26,,Egypt,26.22
27,,Estonia,33.61
28,,Finland,65.57
29,,France,54.64
30,,Georgia,17.38
31,,Germany,46.45
32,,Greece,32.79
33,,Guatemala,26.08
34,,Hong Kong,38.68
35,,Hungary,28.30
36,,Iceland,85.13
37,,India,9.43
38,,Indonesia,15.13
39,,Iran,19.50
40,,Iraq,39.38
41,,Ireland,65.57
42,,Israel,51.64
43,,Italy,54.64
44,,Jamaica,42.24
45,,Japan,40.06
46,,Jordan,42.35
47,,Kazakhstan,32.26
48,,Kenya,25.60
49,,Kuwait,33.00
50,,Latvia,32.79
51,,Lebanon,50.00
52,,Lithuania,32.79
53,,Luxembourg,76.50
54,,Macedonia,15.17
55,,Malaysia,15.98
56,,Malta,54.64
57,,Mauritius,24.06
58,,Mexico,25.79
59,,Moldova,11.01
60,,Montenegro,32.79
61,,Morocco,15.24
62,,Nepal,7.11
63,,Netherlands,60.11
64,,New Zealand,60.26
65,,Nigeria,27.63
66,,Norway,100.63
67,,Oman,25.97
68,,Pakistan,9.81
69,,Panama,42.50
70,,Peru,19.01
71,,Philippines,13.46
72,,Poland,26.55
73,,Portugal,32.79
74,,Puerto Rico,50.00
75,,Qatar,49.46
76,,Romania,22.13
77,,Russia,37.42
78,,Saudi Arabia,26.67
79,,Serbia,18.10
80,,Singapore,44.25
81,,Slovakia,26.23
82,,Slovenia,30.60
83,,South Africa,32.60
84,,South Korea,34.05
85,,Spain,43.72
86,,Sri Lanka,14.93
87,,Sweden,70.04
88,,Switzerland,105.76
89,,Taiwan,19.43
90,,Tanzania,26.29
91,,Thailand,17.80
92,,Trinidad And Tobago,47.34
93,,Tunisia,16.51
94,,Turkey,20.49
95,,Ukraine,19.00
96,,United Arab Emirates,40.84
97,,United Kingdom,75.24
98,,United States,50.00
99,,Uruguay,44.73
100,,Venezuela,42.30
101,,Vietnam,13.75
102,,Zimbabwe,28.50
