,Rank,City,Water (1.5 liter bottle)
0,,Argentina,0.87
1,,Australia,2.12
2,,Austria,0.56
3,,Belgium,2.22
4,,Bosnia And Herzegovina,0.86
5,,Brazil,1.14
6,,Bulgaria,0.38
7,,Canada,2.03
8,,Chile,0.77
9,,China,0.49
10,,Colombia,4.00
11,,Croatia,1.11
12,,Czech Republic,0.65
13,,Denmark,2.48
14,,Ecuador,0.50
15,,Egypt,0.53
16,,Estonia,0.92
17,,Finland,1.70
18,,France,1.43
19,,Germany,1.22
20,,Greece,1.21
21,,Hong Kong,1.41
22,,Hungary,0.48
23,,India,0.44
24,,Indonesia,0.57
25,,Iran,0.36
26,,Ireland,2.06
27,,Israel,0.84
28,,Italy,0.65
29,,Japan,1.21
30,,Jordan,0.81
31,,Kazakhstan,0.93
32,,Lithuania,0.77
33,,Malaysia,0.66
34,,Malta,0.52
35,,Mexico,0.95
36,,Morocco,0.65
37,,Netherlands,1.23
38,,New Zealand,1.89
39,,Norway,2.47
40,,Pakistan,0.50
41,,Panama,1.00
42,,Philippines,1.03
43,,Poland,0.63
44,,Portugal,0.98
45,,Puerto Rico,2.08
46,,Qatar,0.63
47,,Romania,0.71
48,,Russia,1.05
49,,Saudi Arabia,0.69
50,,Serbia,0.56
51,,Singapore,1.60
52,,Slovakia,0.65
53,,Slovenia,0.43
54,,South Africa,1.82
55,,South Korea,0.96
56,,Spain,0.91
57,,Sweden,2.06
58,,Switzerland,0.96
59,,Syria,0.53
60,,Taiwan,1.00
61,,Thailand,0.47
62,,Turkey,0.69
63,,Ukraine,0.80
64,,United Arab Emirates,0.63
65,,United Kingdom,1.73
66,,United States,1.71
67,,Vietnam,1.07
