,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.81
1,,Algeria,1.50
2,,Argentina,1.36
3,,Armenia,0.81
4,,Australia,3.74
5,,Austria,1.25
6,,Azerbaijan,0.86
7,,Bahrain,-
8,,Bangladesh,2.45
9,,Belarus,0.94
10,,Belgium,1.59
11,,Bolivia,2.22
12,,Bosnia And Herzegovina,0.66
13,,Brazil,1.34
14,,Brunei,-
15,,Bulgaria,0.75
16,,Cambodia,0.91
17,,Canada,2.30
18,,Chile,1.36
19,,China,0.76
20,,Colombia,0.92
21,,Costa Rica,2.05
22,,Croatia,1.20
23,,Cyprus,1.25
24,,Czech Republic,0.70
25,,Denmark,1.86
26,,Dominican Republic,2.18
27,,Ecuador,1.35
28,,Egypt,1.52
29,,El Salvador,-
30,,Estonia,1.57
31,,Ethiopia,0.71
32,,Finland,2.59
33,,France,2.45
34,,Georgia,0.92
35,,Germany,1.00
36,,Greece,1.56
37,,Guatemala,2.24
38,,Honduras,-
39,,Hong Kong,1.59
40,,Hungary,0.88
41,,Iceland,3.08
42,,India,1.74
43,,Indonesia,2.15
44,,Iran,0.59
45,,Iraq,1.82
46,,Ireland,2.80
47,,Israel,2.49
48,,Italy,1.39
49,,Jamaica,-
50,,Japan,2.50
51,,Jordan,5.31
52,,Kazakhstan,0.72
53,,Kenya,2.18
54,,Kosovo (Disputed Territory),0.77
55,,Kuwait,2.24
56,,Latvia,1.15
57,,Lebanon,1.65
58,,Lithuania,1.23
59,,Luxembourg,2.61
60,,Macedonia,0.80
61,,Malaysia,2.39
62,,Malta,1.83
63,,Mauritius,-
64,,Mexico,1.08
65,,Moldova,0.83
66,,Montenegro,1.01
67,,Morocco,2.13
68,,Namibia,1.21
69,,Nepal,2.05
70,,Netherlands,1.23
71,,New Zealand,2.97
72,,Nigeria,0.90
73,,Norway,3.59
74,,Oman,-
75,,Pakistan,1.95
76,,Palestinian Territory,2.60
77,,Panama,0.93
78,,Peru,1.44
79,,Philippines,0.98
80,,Poland,0.82
81,,Portugal,1.19
82,,Puerto Rico,-
83,,Qatar,7.93
84,,Romania,0.80
85,,Russia,0.91
86,,Saudi Arabia,1.64
87,,Serbia,0.64
88,,Singapore,3.58
89,,Slovakia,0.81
90,,Slovenia,1.22
91,,South Africa,1.36
92,,South Korea,2.12
93,,Spain,0.93
94,,Sri Lanka,1.67
95,,Sweden,1.90
96,,Switzerland,1.92
97,,Taiwan,1.61
98,,Thailand,1.76
99,,Trinidad And Tobago,-
100,,Tunisia,0.86
101,,Turkey,1.92
102,,Uganda,-
103,,Ukraine,0.72
104,,United Arab Emirates,3.95
105,,United Kingdom,2.17
106,,United States,2.44
107,,Uruguay,1.86
108,,Uzbekistan,-
109,,Venezuela,0.90
110,,Vietnam,0.75
