,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,6.82
1,,Algeria,5.13
2,,Argentina,21.68
3,,Armenia,14.89
4,,Australia,4.84
5,,Austria,2.47
6,,Azerbaijan,10.36
7,,Bahrain,6.25
8,,Bangladesh,13.50
9,,Belarus,34.73
10,,Belgium,2.72
11,,Bosnia And Herzegovina,7.29
12,,Brazil,12.19
13,,Bulgaria,6.49
14,,Cambodia,10.20
15,,Canada,2.91
16,,Chile,4.78
17,,China,5.63
18,,Colombia,12.64
19,,Costa Rica,12.63
20,,Croatia,5.85
21,,Cyprus,5.28
22,,Czech Republic,2.33
23,,Denmark,3.02
24,,Dominican Republic,10.66
25,,Ecuador,10.01
26,,Egypt,10.65
27,,Estonia,2.59
28,,Finland,1.77
29,,France,2.72
30,,Georgia,12.44
31,,Germany,2.35
32,,Greece,3.82
33,,Guatemala,-
34,,Hong Kong,2.53
35,,Hungary,6.26
36,,Iceland,7.00
37,,India,10.65
38,,Indonesia,10.47
39,,Iran,23.82
40,,Iraq,12.50
41,,Ireland,4.11
42,,Israel,2.81
43,,Italy,3.55
44,,Jamaica,11.64
45,,Japan,1.68
46,,Jordan,8.97
47,,Kazakhstan,13.84
48,,Kenya,15.63
49,,Kuwait,5.33
50,,Latvia,3.24
51,,Lebanon,6.17
52,,Lithuania,2.63
53,,Luxembourg,2.00
54,,Macedonia,6.31
55,,Malaysia,4.65
56,,Malta,3.45
57,,Mauritius,-
58,,Mexico,10.99
59,,Moldova,12.72
60,,Montenegro,10.94
61,,Morocco,5.80
62,,Nepal,9.81
63,,Netherlands,3.29
64,,New Zealand,5.32
65,,Nigeria,18.35
66,,Norway,2.90
67,,Oman,5.45
68,,Pakistan,13.10
69,,Panama,5.46
70,,Peru,9.94
71,,Philippines,7.47
72,,Poland,4.08
73,,Portugal,3.77
74,,Puerto Rico,4.89
75,,Qatar,4.19
76,,Romania,5.17
77,,Russia,14.11
78,,Saudi Arabia,3.89
79,,Serbia,6.52
80,,Singapore,2.27
81,,Slovakia,2.50
82,,Slovenia,3.78
83,,South Africa,9.53
84,,South Korea,4.09
85,,Spain,2.93
86,,Sri Lanka,12.33
87,,Sweden,2.04
88,,Switzerland,1.73
89,,Taiwan,2.14
90,,Tanzania,-
91,,Thailand,6.26
92,,Trinidad And Tobago,5.84
93,,Tunisia,6.33
94,,Turkey,12.01
95,,Ukraine,23.12
96,,United Arab Emirates,4.39
97,,United Kingdom,3.51
98,,United States,4.02
99,,Uruguay,10.67
100,,Venezuela,18.33
101,,Vietnam,9.29
102,,Zimbabwe,17.17
