,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,0.93
1,,Algeria,0.43
2,,Argentina,0.80
3,,Armenia,0.21
4,,Australia,1.51
5,,Austria,2.34
6,,Azerbaijan,0.35
7,,Bahamas,-
8,,Bahrain,0.79
9,,Bangladesh,0.41
10,,Belarus,0.30
11,,Belgium,2.34
12,,Belize,2.49
13,,Bolivia,1.44
14,,Bosnia And Herzegovina,0.60
15,,Brazil,0.74
16,,Bulgaria,0.48
17,,Cambodia,0.70
18,,Canada,1.42
19,,Chile,1.04
20,,China,0.37
21,,Colombia,1.58
22,,Costa Rica,1.17
23,,Croatia,0.95
24,,Cyprus,0.78
25,,Czech Republic,1.18
26,,Denmark,2.51
27,,Dominican Republic,3.03
28,,Ecuador,1.50
29,,Egypt,0.14
30,,El Salvador,4.00
31,,Estonia,0.68
32,,Fiji,0.67
33,,Finland,1.87
34,,France,1.52
35,,Georgia,0.22
36,,Germany,2.34
37,,Ghana,-
38,,Greece,0.86
39,,Guatemala,0.39
40,,Hong Kong,1.08
41,,Hungary,1.10
42,,Iceland,2.87
43,,India,0.22
44,,Indonesia,0.36
45,,Iran,0.27
46,,Iraq,2.50
47,,Ireland,1.37
48,,Israel,1.03
49,,Italy,1.52
50,,Jamaica,2.30
51,,Japan,3.76
52,,Jordan,0.70
53,,Kazakhstan,0.30
54,,Kenya,1.97
55,,Kosovo (Disputed Territory),0.58
56,,Kuwait,3.31
57,,Latvia,0.58
58,,Lebanon,2.00
59,,Lithuania,0.70
60,,Luxembourg,3.39
61,,Macedonia,0.47
62,,Malaysia,0.50
63,,Malta,1.75
64,,Mauritius,2.89
65,,Mexico,0.45
66,,Moldova,0.24
67,,Montenegro,0.58
68,,Morocco,0.63
69,,Namibia,0.79
70,,Nepal,0.53
71,,Netherlands,2.53
72,,New Zealand,2.01
73,,Nigeria,0.28
74,,Norway,1.69
75,,Oman,0.52
76,,Pakistan,0.22
77,,Panama,2.00
78,,Peru,1.53
79,,Philippines,0.26
80,,Poland,0.62
81,,Portugal,0.55
82,,Puerto Rico,-
83,,Qatar,0.52
84,,Romania,0.45
85,,Russia,0.19
86,,Saudi Arabia,1.33
87,,Serbia,0.64
88,,Singapore,0.41
89,,Slovakia,0.82
90,,Slovenia,1.05
91,,South Africa,0.87
92,,South Korea,0.74
93,,Spain,1.24
94,,Sri Lanka,0.32
95,,Sweden,1.89
96,,Switzerland,4.05
97,,Taiwan,0.84
98,,Tanzania,1.31
99,,Thailand,0.25
100,,Trinidad And Tobago,0.74
101,,Tunisia,0.35
102,,Turkey,0.66
103,,Uganda,0.53
104,,Ukraine,0.23
105,,United Arab Emirates,0.50
106,,United Kingdom,2.47
107,,United States,1.71
108,,Uruguay,1.19
109,,Uzbekistan,0.20
110,,Venezuela,1.00
111,,Vietnam,0.53
112,,Zimbabwe,-
