,Rank,City,Apples (1kg)
0,,Albania,0.83
1,,Algeria,1.91
2,,Argentina,2.24
3,,Armenia,0.96
4,,Australia,2.95
5,,Austria,2.35
6,,Azerbaijan,0.81
7,,Bahrain,2.38
8,,Bangladesh,1.81
9,,Belarus,0.88
10,,Belgium,1.94
11,,Bolivia,-
12,,Bosnia And Herzegovina,1.01
13,,Brazil,1.91
14,,Bulgaria,1.04
15,,Cambodia,3.38
16,,Canada,3.11
17,,Chile,1.32
18,,China,1.72
19,,Colombia,1.70
20,,Costa Rica,4.30
21,,Croatia,1.29
22,,Cyprus,1.82
23,,Czech Republic,1.13
24,,Denmark,2.65
25,,Dominican Republic,2.02
26,,Ecuador,2.16
27,,Egypt,1.72
28,,El Salvador,-
29,,Estonia,1.30
30,,Finland,1.83
31,,France,2.66
32,,Georgia,1.04
33,,Germany,2.31
34,,Greece,1.50
35,,Guatemala,2.40
36,,Hong Kong,2.84
37,,Hungary,1.07
38,,Iceland,2.77
39,,India,2.03
40,,Indonesia,3.28
41,,Iran,1.17
42,,Iraq,1.31
43,,Ireland,2.27
44,,Israel,2.26
45,,Italy,1.92
46,,Jamaica,6.00
47,,Japan,6.45
48,,Jordan,2.05
49,,Kazakhstan,1.15
50,,Kenya,2.67
51,,Kosovo (Disputed Territory),0.64
52,,Kuwait,2.30
53,,Latvia,1.38
54,,Lebanon,1.62
55,,Lithuania,1.09
56,,Luxembourg,2.54
57,,Macedonia,0.70
58,,Malaysia,2.45
59,,Malta,2.49
60,,Mauritius,-
61,,Mexico,1.82
62,,Moldova,0.62
63,,Montenegro,0.92
64,,Morocco,1.29
65,,Nepal,1.66
66,,Netherlands,2.43
67,,New Zealand,2.44
68,,Nigeria,3.93
69,,Norway,3.01
70,,Oman,2.38
71,,Pakistan,1.26
72,,Panama,3.20
73,,Peru,1.48
74,,Philippines,2.38
75,,Poland,0.70
76,,Portugal,1.56
77,,Puerto Rico,3.98
78,,Qatar,1.88
79,,Romania,0.84
80,,Russia,1.31
81,,Saudi Arabia,1.78
82,,Serbia,0.79
83,,Singapore,3.11
84,,Slovakia,1.40
85,,Slovenia,1.39
86,,South Africa,1.42
87,,South Korea,6.27
88,,Spain,1.75
89,,Sri Lanka,2.09
90,,Sweden,2.82
91,,Switzerland,3.90
92,,Taiwan,3.99
93,,Thailand,2.67
94,,Trinidad And Tobago,3.32
95,,Tunisia,1.42
96,,Turkey,1.11
97,,Ukraine,0.62
98,,United Arab Emirates,2.25
99,,United Kingdom,2.66
100,,United States,4.23
101,,Uruguay,2.39
102,,Venezuela,4.57
103,,Vietnam,2.59
104,,Zimbabwe,1.87
