,Rank,City,Monthly Pass (Regular Price)
0,,Algeria,10.79
1,,Argentina,13.56
2,,Australia,115.38
3,,Austria,61.04
4,,Azerbaijan,-
5,,Bahrain,-
6,,Bangladesh,11.78
7,,Belarus,12.88
8,,Belgium,59.74
9,,Bosnia And Herzegovina,33.34
10,,Brazil,56.07
11,,Bulgaria,33.33
12,,Canada,86.54
13,,Chile,49.43
14,,China,16.34
15,,Colombia,34.46
16,,Costa Rica,40.83
17,,Croatia,57.96
18,,Cyprus,51.95
19,,Czech Republic,27.61
20,,Denmark,64.02
21,,Dominican Republic,23.40
22,,Ecuador,-
23,,Egypt,11.64
24,,Estonia,29.87
25,,Ethiopia,-
26,,Finland,59.74
27,,France,64.94
28,,Georgia,18.12
29,,Germany,89.61
30,,Ghana,-
31,,Greece,51.95
32,,Hong Kong,59.73
33,,Hungary,45.99
34,,Iceland,76.15
35,,India,10.62
36,,Indonesia,15.33
37,,Iran,14.83
38,,Iraq,-
39,,Ireland,129.87
40,,Israel,63.86
41,,Italy,45.45
42,,Jamaica,-
43,,Japan,99.53
44,,Jordan,49.30
45,,Kazakhstan,38.92
46,,Kenya,47.84
47,,Kuwait,68.97
48,,Latvia,37.39
49,,Lebanon,50.00
50,,Lithuania,38.48
51,,Luxembourg,38.96
52,,Macedonia,26.23
53,,Malaysia,32.89
54,,Malta,33.77
55,,Mexico,23.42
56,,Moldova,6.53
57,,Morocco,18.01
58,,Nepal,-
59,,Netherlands,98.18
60,,New Zealand,112.00
61,,Nigeria,-
62,,Norway,107.33
63,,Oman,-
64,,Pakistan,10.28
65,,Panama,21.00
66,,Peru,-
67,,Philippines,11.87
68,,Poland,30.40
69,,Portugal,45.45
70,,Puerto Rico,30.00
71,,Qatar,-
72,,Romania,14.84
73,,Russia,37.62
74,,Saudi Arabia,40.00
75,,Serbia,37.14
76,,Singapore,77.38
77,,Slovakia,33.77
78,,Slovenia,44.16
79,,South Africa,38.77
80,,South Korea,41.71
81,,Spain,61.69
82,,Sri Lanka,9.50
83,,Sweden,104.98
84,,Switzerland,72.92
85,,Syria,17.50
86,,Taiwan,30.73
87,,Tanzania,-
88,,Thailand,33.70
89,,Trinidad And Tobago,-
90,,Tunisia,15.34
91,,Turkey,74.07
92,,Ukraine,12.44
93,,United Arab Emirates,47.68
94,,United Kingdom,90.91
95,,United States,67.00
96,,Uruguay,41.53
97,,Venezuela,8.00
98,,Vietnam,7.15
