,Rank,City,Apartment (3 bedrooms) Outside of Centre
0,,Albania,262.66
1,,Algeria,254.21
2,,Argentina,650.27
3,,Armenia,280.40
4,,Australia,1532.00
5,,Austria,1158.36
6,,Azerbaijan,290.61
7,,Bahrain,1095.13
8,,Bangladesh,245.59
9,,Belarus,373.68
10,,Belgium,1058.37
11,,Bolivia,413.11
12,,Bosnia And Herzegovina,261.51
13,,Brazil,554.41
14,,Bulgaria,389.94
15,,Cambodia,450.00
16,,Canada,1200.68
17,,Chile,649.66
18,,China,706.95
19,,Colombia,458.15
20,,Costa Rica,709.75
21,,Croatia,478.49
22,,Cyprus,658.51
23,,Czech Republic,722.25
24,,Denmark,1453.81
25,,Dominican Republic,364.30
26,,Ecuador,473.45
27,,Egypt,171.40
28,,Estonia,537.39
29,,Finland,1183.46
30,,France,1266.40
31,,Georgia,386.53
32,,Germany,1139.91
33,,Greece,511.71
34,,Guatemala,457.47
35,,Hong Kong,2999.49
36,,Hungary,573.02
37,,Iceland,2288.93
38,,India,298.09
39,,Indonesia,312.05
40,,Iran,733.55
41,,Iraq,446.07
42,,Ireland,1878.86
43,,Israel,1436.41
44,,Italy,890.02
45,,Jamaica,-
46,,Japan,1050.28
47,,Jordan,507.47
48,,Kazakhstan,433.14
49,,Kenya,400.92
50,,Kosovo (Disputed Territory),290.07
51,,Kuwait,1495.83
52,,Latvia,465.62
53,,Lebanon,888.46
54,,Lithuania,487.20
55,,Luxembourg,2215.15
56,,Macedonia,278.53
57,,Malaysia,411.61
58,,Malta,1113.52
59,,Mauritius,441.28
60,,Mexico,442.32
61,,Moldova,304.95
62,,Montenegro,373.19
63,,Morocco,364.96
64,,Nepal,178.13
65,,Netherlands,1327.86
66,,New Zealand,1469.51
67,,Nigeria,610.62
68,,Norway,1537.77
69,,Oman,790.73
70,,Pakistan,261.51
71,,Panama,958.33
72,,Peru,585.54
73,,Philippines,323.44
74,,Poland,637.29
75,,Portugal,758.80
76,,Puerto Rico,885.71
77,,Qatar,2581.20
78,,Romania,409.32
79,,Russia,691.82
80,,Saudi Arabia,529.54
81,,Serbia,330.05
82,,Singapore,2284.02
83,,Slovakia,718.60
84,,Slovenia,645.91
85,,South Africa,809.04
86,,South Korea,1010.55
87,,Spain,857.46
88,,Sri Lanka,307.38
89,,Sweden,1105.78
90,,Switzerland,2346.05
91,,Taiwan,703.94
92,,Tanzania,878.89
93,,Thailand,646.15
94,,Trinidad And Tobago,686.09
95,,Tunisia,254.79
96,,Turkey,388.52
97,,Ukraine,351.29
98,,United Arab Emirates,2571.22
99,,United Kingdom,1315.69
100,,United States,1621.08
101,,Uruguay,859.39
102,,Venezuela,-
103,,Vietnam,545.95
104,,Zimbabwe,535.71
