,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Argentina,6.57
1,,Australia,6.78
2,,Austria,11.11
3,,Belgium,9.88
4,,Bosnia And Herzegovina,6.17
5,,Brazil,8.24
6,,Bulgaria,6.62
7,,Canada,7.21
8,,Chile,5.00
9,,China,3.91
10,,Colombia,5.50
11,,Croatia,6.17
12,,Czech Republic,6.30
13,,Denmark,9.92
14,,Ecuador,3.50
15,,Egypt,5.00
16,,Estonia,5.09
17,,Finland,8.95
18,,France,9.26
19,,Germany,7.41
20,,Greece,8.64
21,,Hong Kong,3.85
22,,Hungary,5.81
23,,India,3.24
24,,Indonesia,4.31
25,,Iran,4.50
26,,Ireland,8.61
27,,Israel,9.00
28,,Italy,8.58
29,,Japan,6.58
30,,Jordan,6.00
31,,Kazakhstan,3.00
32,,Lithuania,4.68
33,,Malaysia,3.07
34,,Malta,9.26
35,,Mexico,5.03
36,,Morocco,6.06
37,,Netherlands,7.41
38,,New Zealand,5.78
39,,Norway,13.91
40,,Pakistan,4.69
41,,Panama,4.75
42,,Philippines,3.00
43,,Poland,4.39
44,,Portugal,6.17
45,,Puerto Rico,6.00
46,,Qatar,6.80
47,,Romania,4.41
48,,Russia,7.86
49,,Saudi Arabia,5.00
50,,Serbia,3.89
51,,Singapore,5.00
52,,Slovakia,4.94
53,,Slovenia,5.99
54,,South Africa,4.57
55,,South Korea,5.00
56,,Spain,7.41
57,,Sweden,8.64
58,,Switzerland,10.34
59,,Syria,2.50
60,,Taiwan,3.88
61,,Thailand,4.16
62,,Turkey,6.37
63,,Ukraine,5.00
64,,United Arab Emirates,5.84
65,,United Kingdom,7.25
66,,United States,6.00
67,,Vietnam,3.00
