,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,31.42
1,,Algeria,18.50
2,,Argentina,27.40
3,,Armenia,53.77
4,,Australia,45.79
5,,Austria,33.98
6,,Azerbaijan,35.16
7,,Bahrain,62.86
8,,Bangladesh,20.11
9,,Belarus,29.29
10,,Belgium,31.57
11,,Bolivia,41.77
12,,Bosnia And Herzegovina,25.29
13,,Brazil,19.22
14,,Bulgaria,25.75
15,,Cambodia,41.25
16,,Canada,37.17
17,,Chile,35.90
18,,China,33.60
19,,Colombia,22.23
20,,Costa Rica,55.23
21,,Croatia,39.87
22,,Cyprus,57.34
23,,Czech Republic,37.33
24,,Denmark,37.93
25,,Dominican Republic,29.37
26,,Ecuador,45.70
27,,Egypt,28.44
28,,Estonia,49.49
29,,Finland,44.46
30,,France,39.57
31,,Georgia,30.72
32,,Germany,34.06
33,,Ghana,55.42
34,,Greece,36.37
35,,Guatemala,49.90
36,,Hong Kong,70.56
37,,Hungary,40.03
38,,Iceland,51.21
39,,India,20.59
40,,Indonesia,33.44
41,,Iran,29.05
42,,Iraq,36.96
43,,Ireland,47.53
44,,Israel,68.12
45,,Italy,54.14
46,,Japan,82.89
47,,Jordan,58.80
48,,Kazakhstan,46.60
49,,Kenya,46.24
50,,Kosovo (Disputed Territory),13.83
51,,Kuwait,109.69
52,,Latvia,38.79
53,,Lebanon,74.68
54,,Lithuania,31.10
55,,Luxembourg,54.97
56,,Malaysia,35.17
57,,Malta,64.24
58,,Mauritius,38.85
59,,Mexico,28.91
60,,Moldova,24.09
61,,Montenegro,34.20
62,,Morocco,21.66
63,,Nepal,21.65
64,,Netherlands,33.41
65,,New Zealand,41.23
66,,Nigeria,42.80
67,,North Macedonia,22.14
68,,Norway,41.95
69,,Oman,48.80
70,,Pakistan,17.64
71,,Panama,46.35
72,,Peru,39.51
73,,Philippines,37.79
74,,Poland,27.17
75,,Portugal,36.14
76,,Puerto Rico,37.92
77,,Qatar,105.85
78,,Romania,35.99
79,,Russia,35.89
80,,Saudi Arabia,90.37
81,,Serbia,25.87
82,,Singapore,98.43
83,,Slovakia,34.37
84,,Slovenia,45.08
85,,South Africa,27.26
86,,South Korea,46.32
87,,Spain,42.10
88,,Sri Lanka,15.65
89,,Sweden,37.80
90,,Switzerland,89.73
91,,Syria,33.19
92,,Taiwan,41.87
93,,Tanzania,59.01
94,,Thailand,53.28
95,,Trinidad And Tobago,50.70
96,,Tunisia,26.53
97,,Turkey,24.06
98,,Uganda,52.86
99,,Ukraine,19.45
100,,United Arab Emirates,76.05
101,,United Kingdom,39.62
102,,United States,38.51
103,,Uruguay,43.44
104,,Uzbekistan,29.38
105,,Venezuela,25.28
106,,Vietnam,21.15
