,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,74.68
1,,Algeria,34.16
2,,Argentina,95.12
3,,Armenia,70.06
4,,Australia,137.87
5,,Austria,191.16
6,,Azerbaijan,46.39
7,,Bahrain,202.07
8,,Bangladesh,38.80
9,,Belarus,53.13
10,,Belgium,150.87
11,,Bolivia,32.20
12,,Bosnia And Herzegovina,154.30
13,,Brazil,77.82
14,,Brunei,57.68
15,,Bulgaria,102.73
16,,Cambodia,86.47
17,,Canada,105.91
18,,Chile,112.29
19,,China,52.63
20,,Colombia,71.98
21,,Costa Rica,68.75
22,,Croatia,185.23
23,,Cyprus,139.34
24,,Czech Republic,179.39
25,,Denmark,198.17
26,,Dominican Republic,64.47
27,,Ecuador,46.61
28,,Egypt,25.45
29,,El Salvador,63.36
30,,Estonia,193.21
31,,Ethiopia,135.95
32,,Finland,97.30
33,,France,153.24
34,,Georgia,57.05
35,,Germany,247.83
36,,Greece,162.41
37,,Guatemala,51.63
38,,Honduras,114.91
39,,Hong Kong,194.96
40,,Hungary,161.80
41,,Iceland,99.17
42,,India,38.44
43,,Indonesia,79.07
44,,Iran,29.97
45,,Iraq,132.91
46,,Ireland,171.66
47,,Israel,196.28
48,,Italy,170.24
49,,Jamaica,78.65
50,,Japan,197.18
51,,Jordan,86.08
52,,Kazakhstan,57.76
53,,Kenya,45.07
54,,Kosovo (Disputed Territory),60.14
55,,Kuwait,37.81
56,,Latvia,189.04
57,,Lebanon,134.21
58,,Lithuania,135.54
59,,Luxembourg,251.95
60,,Macedonia,114.26
61,,Malaysia,48.72
62,,Malta,95.21
63,,Mauritius,62.84
64,,Mexico,33.94
65,,Moldova,99.57
66,,Montenegro,108.06
67,,Morocco,39.72
68,,Namibia,103.29
69,,Nepal,24.03
70,,Netherlands,183.45
71,,New Zealand,116.39
72,,Nigeria,22.08
73,,Norway,186.78
74,,Oman,58.47
75,,Pakistan,65.48
76,,Palestinian Territory,78.90
77,,Panama,83.92
78,,Peru,65.28
79,,Philippines,100.54
80,,Poland,175.31
81,,Portugal,108.21
82,,Puerto Rico,194.87
83,,Qatar,73.05
84,,Romania,107.21
85,,Russia,112.88
86,,Saudi Arabia,93.02
87,,Serbia,149.58
88,,Singapore,109.69
89,,Slovakia,187.14
90,,Slovenia,223.07
91,,South Africa,84.97
92,,South Korea,149.28
93,,Spain,133.01
94,,Sri Lanka,39.79
95,,Sweden,73.08
96,,Switzerland,192.84
97,,Taiwan,69.04
98,,Thailand,81.09
99,,Trinidad And Tobago,44.28
100,,Tunisia,32.88
101,,Turkey,64.95
102,,Uganda,-
103,,Ukraine,100.81
104,,United Arab Emirates,160.99
105,,United Kingdom,186.90
106,,United States,150.33
107,,Uruguay,108.61
108,,Uzbekistan,24.34
109,,Venezuela,5.27
110,,Vietnam,62.95
