,Rank,City,Gasoline (1 liter)
0,,Albania,1.50
1,,Algeria,0.32
2,,Argentina,0.93
3,,Armenia,0.81
4,,Australia,0.93
5,,Austria,1.29
6,,Azerbaijan,0.56
7,,Bahrain,0.48
8,,Bangladesh,1.08
9,,Belarus,0.74
10,,Belgium,1.54
11,,Bolivia,0.54
12,,Bosnia And Herzegovina,1.20
13,,Brazil,0.83
14,,Bulgaria,1.18
15,,Cambodia,0.84
16,,Canada,0.81
17,,Chile,1.05
18,,China,0.94
19,,Colombia,0.67
20,,Costa Rica,1.06
21,,Croatia,1.44
22,,Cyprus,1.25
23,,Czech Republic,1.25
24,,Denmark,1.57
25,,Dominican Republic,1.06
26,,Ecuador,0.62
27,,Egypt,0.49
28,,Estonia,1.47
29,,Finland,1.68
30,,France,1.62
31,,Georgia,0.80
32,,Germany,1.48
33,,Ghana,0.88
34,,Greece,1.69
35,,Guatemala,0.81
36,,Hong Kong,2.25
37,,Hungary,1.23
38,,Iceland,1.64
39,,India,1.05
40,,Indonesia,0.62
41,,Iran,0.46
42,,Iraq,0.49
43,,Ireland,1.51
44,,Israel,1.67
45,,Italy,1.67
46,,Japan,1.29
47,,Jordan,1.15
48,,Kazakhstan,0.41
49,,Kenya,1.02
50,,Kosovo (Disputed Territory),1.11
51,,Kuwait,0.32
52,,Latvia,1.36
53,,Lebanon,0.93
54,,Lithuania,1.25
55,,Luxembourg,1.24
56,,Malaysia,0.44
57,,Malta,1.58
58,,Mauritius,1.15
59,,Mexico,0.89
60,,Moldova,0.91
61,,Montenegro,1.37
62,,Morocco,1.01
63,,Nepal,0.88
64,,Netherlands,1.81
65,,New Zealand,1.30
66,,Nigeria,0.38
67,,North Macedonia,1.16
68,,Norway,1.64
69,,Oman,0.56
70,,Pakistan,0.67
71,,Panama,0.76
72,,Peru,1.06
73,,Philippines,0.95
74,,Poland,1.21
75,,Portugal,1.68
76,,Puerto Rico,0.69
77,,Qatar,0.46
78,,Romania,1.18
79,,Russia,0.66
80,,Saudi Arabia,0.41
81,,Serbia,1.45
82,,Singapore,1.56
83,,Slovakia,1.38
84,,Slovenia,1.32
85,,South Africa,0.89
86,,South Korea,1.21
87,,Spain,1.39
88,,Sri Lanka,0.77
89,,Sweden,1.59
90,,Switzerland,1.63
91,,Syria,0.91
92,,Taiwan,0.89
93,,Tanzania,0.92
94,,Thailand,0.84
95,,Trinidad And Tobago,0.81
96,,Tunisia,0.70
97,,Turkey,0.99
98,,Uganda,1.02
99,,Ukraine,0.99
100,,United Arab Emirates,0.57
101,,United Kingdom,1.51
102,,United States,0.65
103,,Uruguay,1.28
104,,Uzbekistan,0.50
105,,Venezuela,0.47
106,,Vietnam,0.78
