,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Algeria,15.23
1,,Argentina,38.31
2,,Australia,76.92
3,,Austria,51.95
4,,Azerbaijan,38.24
5,,Bahrain,40.54
6,,Bangladesh,13.09
7,,Belarus,36.30
8,,Belgium,77.92
9,,Bosnia And Herzegovina,20.00
10,,Brazil,37.38
11,,Bulgaria,26.67
12,,Canada,57.69
13,,Chile,39.94
14,,China,24.51
15,,Colombia,26.30
16,,Costa Rica,39.91
17,,Croatia,34.60
18,,Cyprus,64.94
19,,Czech Republic,25.33
20,,Denmark,104.53
21,,Dominican Republic,29.56
22,,Ecuador,18.00
23,,Egypt,21.83
24,,Estonia,38.96
25,,Ethiopia,12.00
26,,Finland,77.92
27,,France,58.44
28,,Georgia,24.16
29,,Germany,58.44
30,,Ghana,60.00
31,,Greece,45.45
32,,Hong Kong,38.66
33,,Hungary,32.85
34,,Iceland,81.88
35,,India,8.85
36,,Indonesia,15.33
37,,Iran,20.18
38,,Iraq,30.00
39,,Ireland,64.94
40,,Israel,54.35
41,,Italy,72.73
42,,Jamaica,41.07
43,,Japan,44.04
44,,Jordan,35.21
45,,Kazakhstan,49.79
46,,Kenya,26.91
47,,Kuwait,41.38
48,,Latvia,37.00
49,,Lebanon,51.59
50,,Lithuania,26.79
51,,Luxembourg,84.42
52,,Macedonia,20.99
53,,Malaysia,16.45
54,,Malta,64.94
55,,Mexico,23.42
56,,Moldova,20.82
57,,Morocco,24.01
58,,Nepal,7.02
59,,Netherlands,77.92
60,,New Zealand,64.00
61,,Nigeria,41.70
62,,Norway,136.29
63,,Oman,15.79
64,,Pakistan,10.28
65,,Panama,35.00
66,,Peru,29.85
67,,Philippines,15.44
68,,Poland,30.39
69,,Portugal,38.96
70,,Puerto Rico,50.00
71,,Qatar,54.95
72,,Romania,23.74
73,,Russia,50.22
74,,Saudi Arabia,26.67
75,,Serbia,26.51
76,,Singapore,39.68
77,,Slovakia,25.97
78,,Slovenia,38.96
79,,South Africa,34.79
80,,South Korea,34.31
81,,Spain,51.95
82,,Sri Lanka,15.83
83,,Sweden,83.08
84,,Switzerland,93.75
85,,Syria,20.81
86,,Taiwan,19.63
87,,Tanzania,12.53
88,,Thailand,19.38
89,,Trinidad And Tobago,24.56
90,,Tunisia,18.40
91,,Turkey,26.46
92,,Ukraine,31.09
93,,United Arab Emirates,40.87
94,,United Kingdom,60.61
95,,United States,45.00
96,,Uruguay,45.64
97,,Venezuela,62.00
98,,Vietnam,14.29
