,Rank,City,Potato (1kg)
0,,Algeria,0.62
1,,Argentina,1.23
2,,Australia,2.70
3,,Austria,1.68
4,,Azerbaijan,0.99
5,,Bahrain,1.41
6,,Bangladesh,0.33
7,,Belarus,0.65
8,,Belgium,2.04
9,,Bosnia And Herzegovina,0.74
10,,Brazil,1.64
11,,Bulgaria,0.73
12,,Canada,2.02
13,,Chile,0.98
14,,China,0.93
15,,Colombia,1.08
16,,Costa Rica,1.30
17,,Croatia,0.93
18,,Cyprus,1.11
19,,Czech Republic,0.78
20,,Denmark,1.73
21,,Dominican Republic,-
22,,Ecuador,0.83
23,,Egypt,0.56
24,,Estonia,0.84
25,,Ethiopia,0.55
26,,Finland,1.32
27,,France,2.02
28,,Georgia,0.55
29,,Germany,1.71
30,,Ghana,-
31,,Greece,1.08
32,,Hong Kong,2.28
33,,Hungary,0.85
34,,Iceland,1.71
35,,India,0.43
36,,Indonesia,1.21
37,,Iran,0.72
38,,Iraq,0.91
39,,Ireland,2.25
40,,Israel,1.29
41,,Italy,1.59
42,,Jamaica,1.79
43,,Japan,3.01
44,,Jordan,1.03
45,,Kazakhstan,0.83
46,,Kenya,1.20
47,,Kuwait,1.74
48,,Latvia,0.60
49,,Lebanon,1.05
50,,Lithuania,0.51
51,,Luxembourg,-
52,,Macedonia,0.65
53,,Malaysia,1.10
54,,Malta,1.73
55,,Mexico,1.15
56,,Moldova,0.64
57,,Morocco,0.51
58,,Nepal,0.46
59,,Netherlands,1.73
60,,New Zealand,2.10
61,,Nigeria,2.53
62,,Norway,2.54
63,,Oman,1.71
64,,Pakistan,0.39
65,,Panama,1.33
66,,Peru,1.13
67,,Philippines,1.57
68,,Poland,0.56
69,,Portugal,1.08
70,,Puerto Rico,2.48
71,,Qatar,1.33
72,,Romania,0.66
73,,Russia,1.01
74,,Saudi Arabia,1.02
75,,Serbia,0.86
76,,Singapore,2.29
77,,Slovakia,0.85
78,,Slovenia,0.88
79,,South Africa,1.18
80,,South Korea,3.78
81,,Spain,1.22
82,,Sri Lanka,0.86
83,,Sweden,1.24
84,,Switzerland,2.65
85,,Syria,0.71
86,,Taiwan,1.56
87,,Tanzania,0.88
88,,Thailand,1.61
89,,Trinidad And Tobago,1.31
90,,Tunisia,0.57
91,,Turkey,0.71
92,,Ukraine,0.53
93,,United Arab Emirates,1.14
94,,United Kingdom,1.92
95,,United States,2.45
96,,Uruguay,1.77
97,,Venezuela,4.87
98,,Vietnam,0.72
