,Rank,City,Apples (1kg)
0,,Algeria,2.00
1,,Argentina,2.27
2,,Australia,3.95
3,,Austria,2.71
4,,Azerbaijan,2.26
5,,Bahrain,2.38
6,,Bangladesh,2.08
7,,Belarus,1.51
8,,Belgium,3.06
9,,Bosnia And Herzegovina,1.24
10,,Brazil,2.30
11,,Bulgaria,1.40
12,,Canada,3.24
13,,Chile,1.32
14,,China,1.79
15,,Colombia,2.00
16,,Costa Rica,4.68
17,,Croatia,1.67
18,,Cyprus,2.64
19,,Czech Republic,1.53
20,,Denmark,3.14
21,,Dominican Republic,-
22,,Ecuador,2.76
23,,Egypt,1.85
24,,Estonia,1.64
25,,Ethiopia,5.05
26,,Finland,3.11
27,,France,2.98
28,,Georgia,1.12
29,,Germany,2.89
30,,Ghana,5.10
31,,Greece,1.85
32,,Hong Kong,2.65
33,,Hungary,1.38
34,,Iceland,2.54
35,,India,2.22
36,,Indonesia,2.83
37,,Iran,1.36
38,,Iraq,1.65
39,,Ireland,3.31
40,,Israel,2.42
41,,Italy,2.47
42,,Jamaica,2.61
43,,Japan,5.04
44,,Jordan,1.97
45,,Kazakhstan,2.34
46,,Kenya,-
47,,Kuwait,2.68
48,,Latvia,1.16
49,,Lebanon,1.92
50,,Lithuania,1.33
51,,Luxembourg,3.08
52,,Macedonia,0.82
53,,Malaysia,2.57
54,,Malta,2.38
55,,Mexico,2.42
56,,Moldova,0.88
57,,Morocco,1.54
58,,Nepal,1.49
59,,Netherlands,2.83
60,,New Zealand,2.89
61,,Nigeria,4.03
62,,Norway,3.78
63,,Oman,2.28
64,,Pakistan,1.26
65,,Panama,3.94
66,,Peru,2.56
67,,Philippines,1.96
68,,Poland,0.98
69,,Portugal,1.91
70,,Puerto Rico,4.01
71,,Qatar,2.38
72,,Romania,1.15
73,,Russia,2.02
74,,Saudi Arabia,1.84
75,,Serbia,1.17
76,,Singapore,2.99
77,,Slovakia,1.53
78,,Slovenia,1.79
79,,South Africa,1.50
80,,South Korea,5.91
81,,Spain,2.07
82,,Sri Lanka,2.86
83,,Sweden,3.23
84,,Switzerland,4.29
85,,Syria,1.08
86,,Taiwan,2.85
87,,Tanzania,2.37
88,,Thailand,2.84
89,,Trinidad And Tobago,3.11
90,,Tunisia,1.81
91,,Turkey,1.35
92,,Ukraine,1.24
93,,United Arab Emirates,2.24
94,,United Kingdom,2.79
95,,United States,3.85
96,,Uruguay,3.17
97,,Venezuela,10.35
98,,Vietnam,2.34
