,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,20.96
1,,Algeria,13.85
2,,Argentina,37.70
3,,Armenia,20.77
4,,Australia,60.21
5,,Austria,55.98
6,,Azerbaijan,23.61
7,,Bahrain,42.41
8,,Bangladesh,9.92
9,,Belarus,30.00
10,,Belgium,67.17
11,,Bolivia,20.17
12,,Bosnia And Herzegovina,17.16
13,,Brazil,30.34
14,,Bulgaria,22.89
15,,Cambodia,18.00
16,,Canada,48.26
17,,Chile,37.68
18,,China,22.06
19,,Colombia,20.58
20,,Costa Rica,35.23
21,,Croatia,30.22
22,,Cyprus,44.78
23,,Czech Republic,25.66
24,,Denmark,82.79
25,,Dominican Republic,39.82
26,,Ecuador,28.00
27,,Egypt,16.54
28,,Estonia,44.78
29,,Finland,69.97
30,,France,55.98
31,,Georgia,20.75
32,,Germany,50.38
33,,Greece,39.18
34,,Guatemala,25.89
35,,Hong Kong,44.89
36,,Hungary,29.11
37,,Iceland,121.57
38,,India,12.27
39,,Indonesia,12.80
40,,Iran,18.52
41,,Iraq,21.13
42,,Ireland,67.17
43,,Israel,62.27
44,,Italy,55.98
45,,Jamaica,46.29
46,,Japan,40.79
47,,Jordan,42.24
48,,Kazakhstan,31.69
49,,Kenya,24.66
50,,Kosovo (Disputed Territory),11.20
51,,Kuwait,39.52
52,,Latvia,37.51
53,,Lebanon,50.00
54,,Lithuania,33.59
55,,Luxembourg,78.37
56,,Macedonia,18.18
57,,Malaysia,14.07
58,,Malta,55.98
59,,Mauritius,34.54
60,,Mexico,22.02
61,,Moldova,13.77
62,,Montenegro,27.99
63,,Morocco,15.89
64,,Nepal,9.01
65,,Netherlands,67.17
66,,New Zealand,57.71
67,,Nigeria,20.67
68,,Norway,101.20
69,,Oman,27.28
70,,Pakistan,11.46
71,,Panama,40.00
72,,Peru,24.50
73,,Philippines,16.16
74,,Poland,26.75
75,,Portugal,33.59
76,,Puerto Rico,50.00
77,,Qatar,42.36
78,,Romania,24.54
79,,Russia,35.07
80,,Saudi Arabia,23.99
81,,Serbia,22.86
82,,Singapore,43.34
83,,Slovakia,27.99
84,,Slovenia,39.18
85,,South Africa,34.83
86,,South Korea,35.54
87,,Spain,44.78
88,,Sri Lanka,13.12
89,,Sweden,68.84
90,,Switzerland,103.16
91,,Taiwan,23.25
92,,Tanzania,25.74
93,,Thailand,22.01
94,,Trinidad And Tobago,46.50
95,,Tunisia,16.45
96,,Turkey,19.79
97,,Ukraine,15.32
98,,United Arab Emirates,40.84
99,,United Kingdom,63.71
100,,United States,50.00
101,,Uruguay,49.20
102,,Venezuela,30.00
103,,Vietnam,15.44
104,,Zimbabwe,30.00
