,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Argentina,1.80
1,,Australia,17.02
2,,Austria,6.23
3,,Bangladesh,2.20
4,,Belgium,6.96
5,,Bosnia And Herzegovina,2.90
6,,Brazil,2.85
7,,Bulgaria,3.68
8,,Canada,10.31
9,,Chile,4.00
10,,China,2.32
11,,Colombia,1.89
12,,Costa Rica,1.80
13,,Croatia,4.28
14,,Cyprus,6.16
15,,Czech Republic,4.70
16,,Denmark,6.77
17,,Ecuador,2.50
18,,Egypt,2.00
19,,Estonia,4.35
20,,Finland,7.25
21,,France,8.62
22,,Germany,7.25
23,,Greece,5.80
24,,Hong Kong,6.43
25,,Hungary,3.74
26,,Iceland,8.19
27,,India,2.22
28,,Indonesia,1.41
29,,Iran,2.50
30,,Ireland,12.50
31,,Israel,6.71
32,,Italy,6.81
33,,Japan,5.40
34,,Jordan,2.43
35,,Latvia,4.09
36,,Lebanon,1.70
37,,Lithuania,3.74
38,,Macedonia,2.90
39,,Malaysia,3.33
40,,Malta,5.80
41,,Mexico,3.28
42,,Morocco,3.62
43,,Netherlands,7.25
44,,New Zealand,12.40
45,,Norway,15.86
46,,Pakistan,1.00
47,,Panama,3.50
48,,Peru,2.06
49,,Philippines,0.93
50,,Poland,4.34
51,,Portugal,5.80
52,,Puerto Rico,5.00
53,,Qatar,3.00
54,,Romania,4.18
55,,Russia,1.79
56,,Saudi Arabia,1.93
57,,Serbia,2.32
58,,Singapore,9.76
59,,Slovakia,4.64
60,,Slovenia,4.64
61,,South Africa,4.41
62,,South Korea,2.33
63,,Spain,6.09
64,,Sri Lanka,5.79
65,,Sweden,7.97
66,,Switzerland,8.24
67,,Syria,1.79
68,,Taiwan,2.76
69,,Thailand,2.59
70,,Tunisia,2.65
71,,Turkey,4.40
72,,Ukraine,1.50
73,,United Arab Emirates,2.10
74,,United Kingdom,10.66
75,,United States,6.00
76,,Uruguay,3.50
77,,Venezuela,3.60
78,,Vietnam,1.25
