,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.35
1,,Argentina,2.00
2,,Australia,16.50
3,,Austria,5.56
4,,Bahrain,2.00
5,,Bangladesh,1.75
6,,Belarus,1.50
7,,Belgium,6.17
8,,Bosnia And Herzegovina,2.20
9,,Brazil,2.46
10,,Bulgaria,3.16
11,,Cambodia,1.00
12,,Canada,9.71
13,,Chile,4.00
14,,China,2.35
15,,Colombia,1.96
16,,Costa Rica,2.00
17,,Croatia,3.77
18,,Cyprus,5.56
19,,Czech Republic,4.04
20,,Denmark,6.66
21,,Dominican Republic,4.18
22,,Ecuador,3.15
23,,Egypt,2.16
24,,Estonia,3.95
25,,Finland,6.23
26,,France,7.65
27,,Georgia,1.82
28,,Germany,6.17
29,,Greece,4.94
30,,Hong Kong,6.44
31,,Hungary,3.17
32,,Iceland,7.66
33,,India,1.78
34,,Indonesia,1.39
35,,Iran,3.00
36,,Iraq,1.72
37,,Ireland,11.23
38,,Israel,6.41
39,,Italy,6.17
40,,Japan,5.60
41,,Jordan,2.55
42,,Kazakhstan,1.20
43,,Kenya,1.77
44,,Kuwait,2.06
45,,Latvia,3.85
46,,Lebanon,1.71
47,,Lithuania,3.22
48,,Luxembourg,6.05
49,,Macedonia,2.47
50,,Malaysia,3.14
51,,Malta,5.43
52,,Mauritius,4.03
53,,Mexico,2.79
54,,Morocco,3.78
55,,Nepal,1.85
56,,Netherlands,6.67
57,,New Zealand,12.58
58,,Nigeria,2.25
59,,Norway,14.48
60,,Oman,2.57
61,,Pakistan,1.17
62,,Peru,2.16
63,,Philippines,0.92
64,,Poland,3.39
65,,Portugal,5.19
66,,Puerto Rico,5.45
67,,Qatar,2.47
68,,Romania,3.53
69,,Russia,1.51
70,,Saudi Arabia,2.13
71,,Serbia,2.10
72,,Singapore,9.30
73,,Slovakia,4.07
74,,Slovenia,4.20
75,,South Africa,3.53
76,,South Korea,2.29
77,,Spain,5.56
78,,Sri Lanka,4.04
79,,Sweden,7.29
80,,Switzerland,7.94
81,,Taiwan,2.60
82,,Tanzania,2.00
83,,Thailand,2.52
84,,Tunisia,3.09
85,,Turkey,4.30
86,,Ukraine,1.59
87,,United Arab Emirates,2.19
88,,United Kingdom,11.08
89,,United States,6.00
90,,Uruguay,3.57
91,,Venezuela,6.98
92,,Vietnam,1.00
