,Rank,City,Monthly Pass (Regular Price)
0,,Argentina,20.00
1,,Australia,106.38
2,,Austria,62.75
3,,Bangladesh,14.22
4,,Belgium,65.22
5,,Bosnia And Herzegovina,28.99
6,,Brazil,75.95
7,,Bulgaria,34.19
8,,Canada,83.51
9,,Chile,40.00
10,,China,17.00
11,,Colombia,51.49
12,,Costa Rica,-
13,,Croatia,56.42
14,,Cyprus,28.99
15,,Czech Republic,31.75
16,,Denmark,67.21
17,,Ecuador,-
18,,Egypt,-
19,,Estonia,28.99
20,,Finland,62.32
21,,France,68.12
22,,Germany,74.64
23,,Greece,65.22
24,,Hong Kong,51.41
25,,Hungary,53.08
26,,Iceland,63.32
27,,India,11.12
28,,Indonesia,18.74
29,,Iran,35.00
30,,Ireland,115.94
31,,Israel,66.37
32,,Italy,43.48
33,,Japan,116.68
34,,Jordan,54.69
35,,Latvia,51.67
36,,Lebanon,42.50
37,,Lithuania,41.97
38,,Macedonia,33.33
39,,Malaysia,33.33
40,,Malta,50.72
41,,Mexico,25.93
42,,Morocco,28.99
43,,Netherlands,101.45
44,,New Zealand,86.78
45,,Norway,111.94
46,,Pakistan,13.50
47,,Panama,50.00
48,,Peru,25.00
49,,Philippines,17.33
50,,Poland,30.29
51,,Portugal,43.48
52,,Puerto Rico,100.00
53,,Qatar,77.52
54,,Romania,20.28
55,,Russia,37.18
56,,Saudi Arabia,15.34
57,,Serbia,33.33
58,,Singapore,46.75
59,,Slovakia,31.88
60,,Slovenia,49.28
61,,South Africa,57.35
62,,South Korea,24.69
63,,Spain,57.97
64,,Sri Lanka,10.50
65,,Sweden,109.41
66,,Switzerland,82.35
67,,Syria,19.92
68,,Taiwan,25.00
69,,Thailand,24.03
70,,Tunisia,16.50
71,,Turkey,62.89
72,,Ukraine,16.60
73,,United Arab Emirates,65.00
74,,United Kingdom,79.92
75,,United States,60.00
76,,Uruguay,30.20
77,,Venezuela,15.00
78,,Vietnam,10.00
