,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,0.99
1,,Algeria,0.26
2,,Argentina,1.25
3,,Armenia,0.89
4,,Australia,1.05
5,,Austria,1.23
6,,Azerbaijan,0.88
7,,Bahrain,1.61
8,,Bangladesh,0.83
9,,Belarus,0.59
10,,Belgium,1.04
11,,Bolivia,0.94
12,,Bosnia And Herzegovina,0.79
13,,Brazil,0.96
14,,Bulgaria,1.13
15,,Cambodia,2.07
16,,Canada,1.67
17,,Chile,1.09
18,,China,2.01
19,,Colombia,0.81
20,,Costa Rica,1.39
21,,Croatia,0.82
22,,Cyprus,1.50
23,,Czech Republic,0.71
24,,Denmark,0.98
25,,Dominican Republic,1.26
26,,Ecuador,1.06
27,,Egypt,1.02
28,,El Salvador,1.23
29,,Estonia,0.62
30,,Finland,1.06
31,,France,1.09
32,,Georgia,1.36
33,,Germany,0.79
34,,Greece,1.35
35,,Guatemala,1.39
36,,Hong Kong,2.82
37,,Hungary,0.77
38,,Iceland,1.19
39,,India,0.65
40,,Indonesia,1.29
41,,Iran,0.77
42,,Iraq,1.22
43,,Ireland,1.05
44,,Israel,1.47
45,,Italy,1.36
46,,Jamaica,2.20
47,,Japan,1.74
48,,Jordan,1.61
49,,Kazakhstan,0.75
50,,Kenya,0.94
51,,Kosovo (Disputed Territory),0.93
52,,Kuwait,1.48
53,,Latvia,0.93
54,,Lebanon,2.02
55,,Lithuania,0.92
56,,Luxembourg,1.24
57,,Macedonia,0.90
58,,Malaysia,1.68
59,,Malta,0.98
60,,Mauritius,1.25
61,,Mexico,0.83
62,,Moldova,0.58
63,,Montenegro,0.84
64,,Morocco,0.73
65,,Nepal,0.68
66,,Netherlands,1.04
67,,New Zealand,1.82
68,,Nigeria,2.48
69,,Norway,2.05
70,,Oman,1.79
71,,Pakistan,0.86
72,,Panama,1.51
73,,Peru,1.33
74,,Philippines,1.66
75,,Poland,0.63
76,,Portugal,0.65
77,,Puerto Rico,1.95
78,,Qatar,1.57
79,,Romania,0.96
80,,Russia,0.85
81,,Saudi Arabia,1.15
82,,Serbia,0.87
83,,Singapore,2.16
84,,Slovakia,0.83
85,,Slovenia,0.95
86,,South Africa,0.90
87,,South Korea,2.14
88,,Spain,0.88
89,,Sri Lanka,1.16
90,,Sweden,1.27
91,,Switzerland,1.52
92,,Taiwan,2.64
93,,Thailand,1.42
94,,Trinidad And Tobago,1.73
95,,Tunisia,0.53
96,,Turkey,0.88
97,,Ukraine,0.59
98,,United Arab Emirates,1.52
99,,United Kingdom,1.29
100,,United States,0.86
101,,Uruguay,0.88
102,,Venezuela,1.01
103,,Vietnam,1.38
104,,Zimbabwe,1.45
