,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1770.17
1,,Argentina,2202.73
2,,Australia,7215.85
3,,Austria,4320.99
4,,Bahrain,-
5,,Bangladesh,744.92
6,,Belarus,1943.38
7,,Belgium,3432.10
8,,Bosnia And Herzegovina,1536.30
9,,Brazil,3315.32
10,,Bulgaria,1068.10
11,,Cambodia,1000.00
12,,Canada,4246.42
13,,Chile,2107.74
14,,China,4156.62
15,,Colombia,1328.30
16,,Costa Rica,1146.25
17,,Croatia,2785.24
18,,Cyprus,1604.94
19,,Czech Republic,2099.70
20,,Denmark,4944.91
21,,Dominican Republic,1176.78
22,,Ecuador,901.44
23,,Egypt,946.47
24,,Estonia,2037.04
25,,Finland,5509.76
26,,France,6885.80
27,,Georgia,3929.01
28,,Germany,2964.44
29,,Greece,2249.13
30,,Hong Kong,15407.45
31,,Hungary,1465.33
32,,Iceland,-
33,,India,1287.94
34,,Indonesia,2008.04
35,,Iran,2480.20
36,,Iraq,1267.56
37,,Ireland,2839.51
38,,Israel,3846.15
39,,Italy,5407.21
40,,Japan,5225.24
41,,Jordan,1155.25
42,,Kazakhstan,1891.04
43,,Kenya,-
44,,Kuwait,4147.27
45,,Latvia,1354.93
46,,Lebanon,4774.31
47,,Lithuania,2129.03
48,,Luxembourg,6172.84
49,,Macedonia,1417.54
50,,Malaysia,1637.21
51,,Malta,4218.11
52,,Mauritius,3425.82
53,,Mexico,1117.46
54,,Morocco,2150.73
55,,Nepal,1437.05
56,,Netherlands,4270.37
57,,New Zealand,3522.31
58,,Nigeria,3000.00
59,,Norway,6910.61
60,,Oman,1500.00
61,,Pakistan,867.85
62,,Peru,2083.33
63,,Philippines,1723.50
64,,Poland,2138.95
65,,Portugal,1821.40
66,,Puerto Rico,2614.59
67,,Qatar,4338.64
68,,Romania,1561.37
69,,Russia,2797.07
70,,Saudi Arabia,1911.79
71,,Serbia,2040.47
72,,Singapore,13843.86
73,,Slovakia,1970.16
74,,Slovenia,3108.87
75,,South Africa,1142.46
76,,South Korea,8487.16
77,,Spain,3767.98
78,,Sri Lanka,1150.20
79,,Sweden,7264.25
80,,Switzerland,8217.16
81,,Taiwan,10056.99
82,,Tanzania,-
83,,Thailand,2281.09
84,,Tunisia,1094.51
85,,Turkey,1758.73
86,,Ukraine,1885.19
87,,United Arab Emirates,3252.68
88,,United Kingdom,4070.78
89,,United States,1894.97
90,,Uruguay,2199.27
91,,Venezuela,3023.22
92,,Vietnam,1998.11
