,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,13.15
1,,Algeria,11.28
2,,Argentina,9.48
3,,Armenia,13.94
4,,Australia,14.34
5,,Austria,19.38
6,,Azerbaijan,19.24
7,,Bahrain,31.87
8,,Bangladesh,12.36
9,,Belarus,15.52
10,,Belgium,21.36
11,,Bolivia,12.15
12,,Bosnia And Herzegovina,10.70
13,,Brazil,20.83
14,,Bulgaria,13.55
15,,Cambodia,-
16,,Canada,15.25
17,,Chile,18.57
18,,China,11.98
19,,Colombia,9.14
20,,Costa Rica,26.42
21,,Croatia,10.65
22,,Cyprus,22.27
23,,Czech Republic,12.70
24,,Denmark,28.15
25,,Dominican Republic,-
26,,Ecuador,21.44
27,,Egypt,10.52
28,,Estonia,28.23
29,,Finland,28.56
30,,France,15.88
31,,Georgia,11.15
32,,Germany,20.83
33,,Ghana,-
34,,Greece,17.99
35,,Guatemala,31.28
36,,Hong Kong,10.23
37,,Hungary,11.78
38,,Iceland,32.26
39,,India,6.87
40,,Indonesia,10.07
41,,Iran,17.22
42,,Iraq,15.27
43,,Ireland,18.40
44,,Israel,18.02
45,,Italy,23.47
46,,Japan,30.55
47,,Jordan,35.88
48,,Kazakhstan,17.64
49,,Kenya,-
50,,Kosovo (Disputed Territory),6.36
51,,Kuwait,28.86
52,,Latvia,22.04
53,,Lebanon,24.89
54,,Lithuania,19.58
55,,Luxembourg,22.94
56,,Malaysia,5.45
57,,Malta,22.45
58,,Mauritius,-
59,,Mexico,13.06
60,,Moldova,9.78
61,,Montenegro,11.50
62,,Morocco,18.69
63,,Nepal,8.54
64,,Netherlands,22.07
65,,New Zealand,12.12
66,,Nigeria,8.53
67,,North Macedonia,12.25
68,,Norway,31.84
69,,Oman,17.34
70,,Pakistan,7.28
71,,Panama,23.75
72,,Peru,11.81
73,,Philippines,6.08
74,,Poland,14.82
75,,Portugal,16.18
76,,Puerto Rico,20.25
77,,Qatar,25.78
78,,Romania,13.54
79,,Russia,17.76
80,,Saudi Arabia,41.40
81,,Serbia,10.38
82,,Singapore,9.21
83,,Slovakia,12.77
84,,Slovenia,18.65
85,,South Africa,7.34
86,,South Korea,15.69
87,,Spain,14.19
88,,Sri Lanka,5.90
89,,Sweden,27.27
90,,Switzerland,37.47
91,,Syria,-
92,,Taiwan,11.68
93,,Tanzania,-
94,,Thailand,8.57
95,,Trinidad And Tobago,-
96,,Tunisia,8.31
97,,Turkey,13.86
98,,Uganda,5.95
99,,Ukraine,10.56
100,,United Arab Emirates,29.95
101,,United Kingdom,12.60
102,,United States,14.76
103,,Uruguay,-
104,,Uzbekistan,5.50
105,,Venezuela,13.78
106,,Vietnam,7.26
