,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,59.28
1,,Algeria,40.88
2,,Argentina,100.99
3,,Armenia,84.75
4,,Australia,151.03
5,,Austria,213.08
6,,Azerbaijan,40.33
7,,Bahrain,91.25
8,,Bangladesh,33.59
9,,Belarus,47.42
10,,Belgium,140.54
11,,Bolivia,42.43
12,,Bosnia And Herzegovina,138.07
13,,Brazil,77.10
14,,Bulgaria,88.68
15,,Cambodia,84.88
16,,Canada,98.77
17,,Chile,119.32
18,,China,51.24
19,,Colombia,72.98
20,,Costa Rica,73.37
21,,Croatia,190.84
22,,Cyprus,110.84
23,,Czech Republic,173.59
24,,Denmark,183.97
25,,Dominican Republic,61.45
26,,Ecuador,35.99
27,,Egypt,19.15
28,,Estonia,198.25
29,,Finland,135.81
30,,France,160.00
31,,Georgia,52.69
32,,Germany,239.99
33,,Greece,165.64
34,,Guatemala,60.70
35,,Hong Kong,155.18
36,,Hungary,173.23
37,,Iceland,148.22
38,,India,34.62
39,,Indonesia,51.09
40,,Iran,35.90
41,,Iraq,117.87
42,,Ireland,148.51
43,,Israel,209.10
44,,Italy,155.18
45,,Jamaica,132.60
46,,Japan,177.07
47,,Jordan,81.67
48,,Kazakhstan,62.75
49,,Kenya,52.18
50,,Kosovo (Disputed Territory),67.87
51,,Kuwait,38.38
52,,Latvia,168.23
53,,Lebanon,127.46
54,,Lithuania,156.71
55,,Luxembourg,261.82
56,,Macedonia,115.39
57,,Malaysia,46.60
58,,Malta,96.89
59,,Mauritius,67.48
60,,Mexico,37.86
61,,Moldova,113.20
62,,Montenegro,128.50
63,,Morocco,40.38
64,,Nepal,30.99
65,,Netherlands,167.85
66,,New Zealand,133.16
67,,Nigeria,37.25
68,,Norway,166.07
69,,Oman,58.74
70,,Pakistan,61.48
71,,Panama,69.06
72,,Peru,53.07
73,,Philippines,88.36
74,,Poland,165.86
75,,Portugal,100.98
76,,Puerto Rico,196.96
77,,Qatar,74.33
78,,Romania,102.76
79,,Russia,116.67
80,,Saudi Arabia,43.31
81,,Serbia,139.20
82,,Singapore,110.39
83,,Slovakia,201.69
84,,Slovenia,227.55
85,,South Africa,77.11
86,,South Korea,144.79
87,,Spain,126.95
88,,Sri Lanka,64.13
89,,Sweden,67.94
90,,Switzerland,180.40
91,,Taiwan,76.87
92,,Tanzania,-
93,,Thailand,72.45
94,,Trinidad And Tobago,52.03
95,,Tunisia,42.45
96,,Turkey,83.86
97,,Ukraine,93.24
98,,United Arab Emirates,166.51
99,,United Kingdom,175.29
100,,United States,146.35
101,,Uruguay,131.33
102,,Venezuela,-
103,,Vietnam,48.49
104,,Zimbabwe,108.00
