,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Albania,0.20
1,,Algeria,0.08
2,,Argentina,0.30
3,,Armenia,0.05
4,,Australia,0.38
5,,Austria,0.07
6,,Azerbaijan,0.05
7,,Bahrain,0.10
8,,Bangladesh,0.02
9,,Belarus,0.02
10,,Belgium,0.22
11,,Bolivia,0.17
12,,Bosnia And Herzegovina,0.11
13,,Brazil,0.38
14,,Bulgaria,0.17
15,,Cambodia,0.05
16,,Canada,0.25
17,,Chile,0.18
18,,China,0.04
19,,Colombia,0.07
20,,Costa Rica,0.08
21,,Croatia,0.12
22,,Cyprus,0.13
23,,Czech Republic,0.13
24,,Denmark,0.12
25,,Dominican Republic,0.20
26,,Ecuador,0.15
27,,Egypt,0.02
28,,El Salvador,0.20
29,,Estonia,0.04
30,,Finland,0.08
31,,France,0.18
32,,Georgia,0.11
33,,Germany,0.11
34,,Greece,0.32
35,,Guatemala,0.15
36,,Hong Kong,0.07
37,,Hungary,0.13
38,,Iceland,0.16
39,,India,0.01
40,,Indonesia,0.12
41,,Iran,0.03
42,,Iraq,0.12
43,,Ireland,0.29
44,,Israel,0.11
45,,Italy,0.18
46,,Jamaica,0.06
47,,Japan,0.44
48,,Jordan,0.06
49,,Kazakhstan,0.03
50,,Kenya,0.04
51,,Kosovo (Disputed Territory),0.05
52,,Kuwait,0.12
53,,Latvia,0.08
54,,Lebanon,0.29
55,,Lithuania,0.13
56,,Luxembourg,0.14
57,,Macedonia,0.09
58,,Malaysia,0.06
59,,Malta,0.27
60,,Mauritius,0.05
61,,Mexico,0.07
62,,Moldova,0.09
63,,Montenegro,0.13
64,,Morocco,0.20
65,,Nepal,0.02
66,,Netherlands,0.16
67,,New Zealand,0.35
68,,Nigeria,0.13
69,,Norway,0.10
70,,Oman,0.15
71,,Pakistan,0.02
72,,Panama,0.14
73,,Peru,0.13
74,,Philippines,0.16
75,,Poland,0.07
76,,Portugal,0.18
77,,Puerto Rico,0.18
78,,Qatar,0.14
79,,Romania,0.15
80,,Russia,0.02
81,,Saudi Arabia,0.12
82,,Serbia,0.11
83,,Singapore,0.13
84,,Slovakia,0.12
85,,Slovenia,0.12
86,,South Africa,0.12
87,,South Korea,0.10
88,,Spain,0.18
89,,Sri Lanka,0.02
90,,Sweden,0.10
91,,Switzerland,0.37
92,,Taiwan,0.20
93,,Thailand,0.05
94,,Trinidad And Tobago,0.14
95,,Tunisia,0.08
96,,Turkey,0.17
97,,Ukraine,0.03
98,,United Arab Emirates,0.14
99,,United Kingdom,0.20
100,,United States,0.13
101,,Uruguay,0.26
102,,Venezuela,0.13
103,,Vietnam,0.07
104,,Zimbabwe,0.18
