,Rank,City,Cappuccino (regular)
0,,Albania,0.98
1,,Algeria,0.85
2,,Argentina,3.14
3,,Armenia,1.63
4,,Australia,3.09
5,,Austria,3.15
6,,Azerbaijan,3.38
7,,Bahrain,4.12
8,,Bangladesh,1.52
9,,Belarus,1.75
10,,Belgium,2.78
11,,Bosnia And Herzegovina,1.09
12,,Brazil,1.60
13,,Bulgaria,1.08
14,,Cambodia,2.05
15,,Canada,3.03
16,,Chile,2.21
17,,China,4.34
18,,Colombia,1.35
19,,Costa Rica,2.41
20,,Croatia,1.40
21,,Cyprus,3.21
22,,Czech Republic,1.60
23,,Denmark,4.83
24,,Dominican Republic,1.59
25,,Ecuador,2.11
26,,Egypt,1.99
27,,Estonia,2.40
28,,Finland,3.43
29,,France,2.94
30,,Georgia,1.50
31,,Germany,2.77
32,,Greece,3.21
33,,Guatemala,2.00
34,,Hong Kong,4.33
35,,Hungary,1.31
36,,Iceland,3.83
37,,India,1.32
38,,Indonesia,2.23
39,,Iran,2.33
40,,Iraq,3.12
41,,Ireland,3.04
42,,Israel,3.17
43,,Italy,1.45
44,,Jamaica,2.32
45,,Japan,3.00
46,,Jordan,3.89
47,,Kazakhstan,3.00
48,,Kenya,2.28
49,,Kuwait,4.03
50,,Latvia,2.19
51,,Lebanon,3.08
52,,Lithuania,1.92
53,,Luxembourg,2.96
54,,Macedonia,1.17
55,,Malaysia,2.73
56,,Malta,1.84
57,,Mauritius,2.28
58,,Mexico,2.22
59,,Moldova,1.32
60,,Montenegro,1.38
61,,Morocco,1.42
62,,Nepal,1.00
63,,Netherlands,2.86
64,,New Zealand,3.18
65,,Nigeria,3.17
66,,Norway,4.66
67,,Oman,4.07
68,,Pakistan,1.54
69,,Panama,2.67
70,,Peru,2.52
71,,Philippines,2.22
72,,Poland,1.96
73,,Portugal,1.23
74,,Puerto Rico,2.48
75,,Qatar,4.50
76,,Romania,1.51
77,,Russia,2.38
78,,Saudi Arabia,2.55
79,,Serbia,1.17
80,,Singapore,4.03
81,,Slovakia,1.79
82,,Slovenia,1.48
83,,South Africa,1.60
84,,South Korea,4.05
85,,Spain,1.70
86,,Sri Lanka,2.76
87,,Sweden,3.78
88,,Switzerland,4.74
89,,Taiwan,2.30
90,,Tanzania,1.59
91,,Thailand,1.84
92,,Trinidad And Tobago,3.12
93,,Tunisia,0.81
94,,Turkey,2.40
95,,Ukraine,0.91
96,,United Arab Emirates,4.40
97,,United Kingdom,3.78
98,,United States,3.82
99,,Uruguay,2.94
100,,Venezuela,2.68
101,,Vietnam,1.79
102,,Zimbabwe,2.00
