,Rank,City,Oranges (1kg)
0,,Albania,1.11
1,,Argentina,1.48
2,,Australia,3.30
3,,Austria,2.55
4,,Bahrain,1.41
5,,Bangladesh,1.63
6,,Belarus,1.82
7,,Belgium,2.90
8,,Bosnia And Herzegovina,1.40
9,,Brazil,1.48
10,,Bulgaria,1.21
11,,Cambodia,2.75
12,,Canada,3.12
13,,Chile,1.08
14,,China,2.35
15,,Colombia,1.75
16,,Costa Rica,1.93
17,,Croatia,1.80
18,,Cyprus,1.75
19,,Czech Republic,1.40
20,,Denmark,3.00
21,,Dominican Republic,4.76
22,,Ecuador,1.40
23,,Egypt,0.73
24,,Estonia,1.90
25,,Finland,2.53
26,,France,2.98
27,,Georgia,1.37
28,,Germany,2.79
29,,Greece,1.24
30,,Hong Kong,3.22
31,,Hungary,1.44
32,,Iceland,8.66
33,,India,1.27
34,,Indonesia,1.90
35,,Iran,1.64
36,,Iraq,1.46
37,,Ireland,2.59
38,,Israel,1.47
39,,Italy,2.04
40,,Japan,6.39
41,,Jordan,1.74
42,,Kazakhstan,2.48
43,,Kenya,2.38
44,,Kuwait,1.59
45,,Latvia,1.61
46,,Lebanon,1.43
47,,Lithuania,1.62
48,,Luxembourg,2.51
49,,Macedonia,1.07
50,,Malaysia,2.27
51,,Malta,2.47
52,,Mauritius,1.21
53,,Mexico,0.96
54,,Morocco,0.65
55,,Nepal,1.25
56,,Netherlands,2.45
57,,New Zealand,2.44
58,,Nigeria,1.75
59,,Norway,3.35
60,,Oman,1.42
61,,Pakistan,0.94
62,,Peru,1.22
63,,Philippines,2.57
64,,Poland,1.31
65,,Portugal,1.15
66,,Puerto Rico,3.15
67,,Qatar,1.53
68,,Romania,1.27
69,,Russia,1.74
70,,Saudi Arabia,1.28
71,,Serbia,1.17
72,,Singapore,3.13
73,,Slovakia,1.56
74,,Slovenia,1.69
75,,South Africa,1.56
76,,South Korea,5.27
77,,Spain,1.49
78,,Sri Lanka,1.68
79,,Sweden,2.74
80,,Switzerland,3.31
81,,Taiwan,2.50
82,,Tanzania,1.86
83,,Thailand,1.78
84,,Tunisia,1.05
85,,Turkey,1.20
86,,Ukraine,1.75
87,,United Arab Emirates,1.85
88,,United Kingdom,2.50
89,,United States,3.38
90,,Uruguay,1.78
91,,Venezuela,2.99
92,,Vietnam,1.57
