,Rank,City,"Rice (white), (1kg)"
0,,Albania,1.10
1,,Algeria,1.04
2,,Argentina,1.51
3,,Armenia,1.18
4,,Australia,1.94
5,,Austria,1.80
6,,Azerbaijan,1.37
7,,Bahrain,2.44
8,,Bangladesh,0.64
9,,Belarus,0.91
10,,Belgium,1.99
11,,Bolivia,1.02
12,,Bosnia And Herzegovina,1.14
13,,Brazil,1.11
14,,Bulgaria,1.21
15,,Cambodia,0.97
16,,Canada,2.78
17,,Chile,1.36
18,,China,1.02
19,,Colombia,1.03
20,,Costa Rica,2.04
21,,Croatia,1.78
22,,Cyprus,1.42
23,,Czech Republic,1.42
24,,Denmark,2.03
25,,Dominican Republic,1.12
26,,Ecuador,1.32
27,,Egypt,0.57
28,,Estonia,1.26
29,,Finland,1.88
30,,France,1.99
31,,Georgia,0.92
32,,Germany,1.87
33,,Greece,1.85
34,,Guatemala,1.06
35,,Hong Kong,1.75
36,,Hungary,0.98
37,,Iceland,3.57
38,,India,0.79
39,,Indonesia,0.89
40,,Iran,3.35
41,,Iraq,1.53
42,,Ireland,1.75
43,,Israel,2.35
44,,Italy,2.15
45,,Jamaica,-
46,,Japan,4.01
47,,Jordan,1.52
48,,Kazakhstan,0.81
49,,Kenya,1.38
50,,Kosovo (Disputed Territory),1.12
51,,Kuwait,1.55
52,,Latvia,1.49
53,,Lebanon,2.09
54,,Lithuania,1.60
55,,Luxembourg,-
56,,Macedonia,1.03
57,,Malaysia,0.98
58,,Malta,2.04
59,,Mauritius,1.44
60,,Mexico,0.98
61,,Moldova,1.08
62,,Montenegro,1.34
63,,Morocco,1.20
64,,Nepal,0.85
65,,Netherlands,1.88
66,,New Zealand,2.02
67,,Nigeria,2.86
68,,Norway,2.92
69,,Oman,1.83
70,,Pakistan,1.13
71,,Panama,1.26
72,,Peru,1.12
73,,Philippines,0.93
74,,Poland,0.89
75,,Portugal,0.97
76,,Puerto Rico,2.36
77,,Qatar,1.82
78,,Romania,1.10
79,,Russia,1.15
80,,Saudi Arabia,1.73
81,,Serbia,1.27
82,,Singapore,1.99
83,,Slovakia,1.33
84,,Slovenia,2.30
85,,South Africa,1.56
86,,South Korea,3.49
87,,Spain,1.12
88,,Sri Lanka,0.61
89,,Sweden,2.86
90,,Switzerland,2.87
91,,Taiwan,3.73
92,,Tanzania,1.10
93,,Thailand,1.13
94,,Trinidad And Tobago,-
95,,Tunisia,0.72
96,,Turkey,1.70
97,,Ukraine,0.96
98,,United Arab Emirates,2.17
99,,United Kingdom,1.61
100,,United States,4.08
101,,Uruguay,1.43
102,,Venezuela,1.38
103,,Vietnam,0.75
104,,Zimbabwe,1.58
