,Rank,City,"International Primary School, Yearly for 1 Child"
0,,Albania,2844.87
1,,Algeria,2411.13
2,,Argentina,3919.35
3,,Armenia,4530.71
4,,Australia,12092.09
5,,Austria,10609.71
6,,Azerbaijan,6157.78
7,,Bahrain,6067.40
8,,Bangladesh,2111.64
9,,Belarus,-
10,,Belgium,17101.10
11,,Bolivia,2356.09
12,,Bosnia And Herzegovina,2840.31
13,,Brazil,7025.79
14,,Brunei,11254.80
15,,Bulgaria,5151.33
16,,Cambodia,17000.00
17,,Canada,10737.75
18,,Chile,6551.12
19,,China,18249.34
20,,Colombia,4933.23
21,,Costa Rica,6777.13
22,,Croatia,4310.01
23,,Cyprus,6287.17
24,,Czech Republic,8795.39
25,,Denmark,8429.18
26,,Dominican Republic,5107.57
27,,Ecuador,6731.30
28,,Egypt,2863.33
29,,El Salvador,3666.67
30,,Estonia,10542.92
31,,Ethiopia,-
32,,Finland,2359.95
33,,France,10657.86
34,,Georgia,2136.70
35,,Germany,11947.74
36,,Greece,7922.72
37,,Guatemala,4794.17
38,,Honduras,6150.79
39,,Hong Kong,18324.01
40,,Hungary,7020.32
41,,Iceland,5865.08
42,,India,1845.34
43,,Indonesia,6230.61
44,,Iran,1505.48
45,,Iraq,2006.02
46,,Ireland,9886.80
47,,Israel,6520.41
48,,Italy,11267.16
49,,Jamaica,-
50,,Japan,14674.82
51,,Jordan,4763.75
52,,Kazakhstan,8878.01
53,,Kenya,9287.79
54,,Kosovo (Disputed Territory),2350.62
55,,Kuwait,5653.83
56,,Latvia,13391.43
57,,Lebanon,5184.62
58,,Lithuania,6860.65
59,,Luxembourg,17611.02
60,,Macedonia,2396.04
61,,Malaysia,5499.63
62,,Malta,8283.15
63,,Mauritius,-
64,,Mexico,3790.39
65,,Moldova,-
66,,Montenegro,8730.89
67,,Morocco,3506.33
68,,Namibia,2865.62
69,,Nepal,1134.76
70,,Netherlands,7948.55
71,,New Zealand,12060.04
72,,Nigeria,1627.53
73,,Norway,6338.02
74,,Oman,8909.66
75,,Pakistan,1047.82
76,,Palestinian Territory,2323.18
77,,Panama,4955.56
78,,Peru,5136.83
79,,Philippines,5386.13
80,,Poland,6792.93
81,,Portugal,7891.38
82,,Puerto Rico,8670.00
83,,Qatar,9968.18
84,,Romania,5697.73
85,,Russia,5982.89
86,,Saudi Arabia,5018.22
87,,Serbia,5955.58
88,,Singapore,20395.25
89,,Slovakia,8395.08
90,,Slovenia,11629.99
91,,South Africa,4175.72
92,,South Korea,19457.95
93,,Spain,7963.81
94,,Sri Lanka,866.88
95,,Sweden,4479.95
96,,Switzerland,27420.65
97,,Taiwan,12012.87
98,,Thailand,12968.88
99,,Trinidad And Tobago,9833.81
100,,Tunisia,1980.69
101,,Turkey,6096.18
102,,Uganda,5506.54
103,,Ukraine,5692.84
104,,United Arab Emirates,9958.21
105,,United Kingdom,17362.01
106,,United States,16730.37
107,,Uruguay,6378.70
108,,Uzbekistan,-
109,,Venezuela,-
110,,Vietnam,8800.63
