,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Argentina,60.00
1,,Australia,152.72
2,,Austria,179.01
3,,Belgium,205.76
4,,Bosnia And Herzegovina,141.98
5,,Brazil,108.14
6,,Bulgaria,81.71
7,,Canada,201.30
8,,Chile,60.00
9,,China,25.24
10,,Colombia,130.00
11,,Croatia,142.35
12,,Czech Republic,79.98
13,,Denmark,142.85
14,,Ecuador,40.00
15,,Egypt,40.00
16,,Estonia,65.10
17,,Finland,271.60
18,,France,137.86
19,,Germany,180.45
20,,Greece,115.60
21,,Hong Kong,105.26
22,,Hungary,131.16
23,,India,33.89
24,,Indonesia,67.31
25,,Iran,79.38
26,,Ireland,98.77
27,,Israel,165.21
28,,Italy,157.41
29,,Japan,146.23
30,,Jordan,58.59
31,,Kazakhstan,90.00
32,,Lithuania,169.84
33,,Malaysia,45.40
34,,Malta,144.03
35,,Mexico,96.10
36,,Morocco,44.43
37,,Netherlands,210.91
38,,New Zealand,141.28
39,,Norway,150.67
40,,Pakistan,127.43
41,,Panama,142.50
42,,Philippines,95.60
43,,Poland,67.17
44,,Portugal,76.54
45,,Puerto Rico,192.50
46,,Qatar,81.92
47,,Romania,71.25
48,,Russia,86.98
49,,Saudi Arabia,41.66
50,,Serbia,82.30
51,,Singapore,121.43
52,,Slovakia,79.32
53,,Slovenia,185.19
54,,South Africa,148.94
55,,South Korea,70.20
56,,Spain,96.71
57,,Sweden,142.80
58,,Switzerland,116.92
59,,Syria,39.40
60,,Taiwan,42.33
61,,Thailand,60.90
62,,Turkey,91.92
63,,Ukraine,51.67
64,,United Arab Emirates,65.20
65,,United Kingdom,168.45
66,,United States,198.62
67,,Vietnam,38.33
