,Rank,City,Eggs (regular) (12)
0,,Argentina,1.82
1,,Australia,4.32
2,,Austria,5.37
3,,Bangladesh,1.11
4,,Belgium,3.73
5,,Bosnia And Herzegovina,1.69
6,,Brazil,2.18
7,,Bulgaria,1.92
8,,Canada,3.07
9,,Chile,2.58
10,,China,1.61
11,,Colombia,1.78
12,,Costa Rica,2.25
13,,Croatia,2.61
14,,Cyprus,3.71
15,,Czech Republic,1.72
16,,Denmark,4.01
17,,Ecuador,1.38
18,,Egypt,1.83
19,,Estonia,1.52
20,,Finland,2.07
21,,France,3.98
22,,Germany,3.11
23,,Greece,4.74
24,,Hong Kong,2.86
25,,Hungary,1.86
26,,Iceland,3.11
27,,India,0.90
28,,Indonesia,1.55
29,,Iran,2.26
30,,Ireland,3.93
31,,Israel,3.85
32,,Italy,3.67
33,,Japan,3.45
34,,Jordan,1.98
35,,Latvia,2.18
36,,Lebanon,2.00
37,,Lithuania,1.89
38,,Macedonia,1.87
39,,Malaysia,1.43
40,,Malta,2.91
41,,Mexico,1.81
42,,Morocco,1.73
43,,Netherlands,2.98
44,,New Zealand,3.26
45,,Norway,5.19
46,,Pakistan,0.94
47,,Panama,1.79
48,,Peru,2.04
49,,Philippines,1.52
50,,Poland,2.00
51,,Portugal,2.40
52,,Puerto Rico,2.69
53,,Qatar,3.21
54,,Romania,2.31
55,,Russia,1.62
56,,Saudi Arabia,2.72
57,,Serbia,1.84
58,,Singapore,2.16
59,,Slovakia,2.15
60,,Slovenia,2.78
61,,South Africa,2.56
62,,South Korea,2.25
63,,Spain,2.06
64,,Sri Lanka,1.46
65,,Sweden,3.84
66,,Switzerland,7.46
67,,Syria,1.18
68,,Taiwan,1.57
69,,Thailand,1.66
70,,Tunisia,1.49
71,,Turkey,2.02
72,,Ukraine,1.36
73,,United Arab Emirates,3.15
74,,United Kingdom,3.64
75,,United States,2.08
76,,Uruguay,2.18
77,,Venezuela,2.95
78,,Vietnam,1.65
