,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.56
1,,Algeria,0.36
2,,Argentina,1.39
3,,Armenia,0.60
4,,Australia,2.10
5,,Austria,0.99
6,,Azerbaijan,0.96
7,,Bahrain,0.73
8,,Bangladesh,0.35
9,,Belarus,0.89
10,,Belgium,1.24
11,,Bosnia And Herzegovina,0.77
12,,Brazil,1.10
13,,Bulgaria,0.60
14,,Cambodia,0.67
15,,Canada,1.81
16,,Chile,1.28
17,,China,0.58
18,,Colombia,1.38
19,,Costa Rica,2.53
20,,Croatia,1.09
21,,Cyprus,0.99
22,,Czech Republic,0.67
23,,Denmark,1.88
24,,Dominican Republic,0.83
25,,Ecuador,1.06
26,,Egypt,0.45
27,,Estonia,1.21
28,,Finland,2.07
29,,France,0.97
30,,Georgia,0.58
31,,Germany,0.62
32,,Greece,1.02
33,,Hong Kong,1.57
34,,Hungary,0.45
35,,Iceland,1.92
36,,India,0.43
37,,Indonesia,0.42
38,,Iran,0.38
39,,Iraq,0.75
40,,Ireland,1.89
41,,Israel,1.35
42,,Italy,0.57
43,,Jamaica,1.39
44,,Japan,1.43
45,,Jordan,0.56
46,,Kazakhstan,0.64
47,,Kenya,1.01
48,,Kuwait,0.64
49,,Latvia,0.72
50,,Lebanon,0.74
51,,Lithuania,0.77
52,,Luxembourg,1.09
53,,Macedonia,0.51
54,,Malaysia,0.65
55,,Malta,1.01
56,,Mexico,0.98
57,,Morocco,0.78
58,,Nepal,0.33
59,,Netherlands,1.34
60,,New Zealand,1.99
61,,Nigeria,0.98
62,,Norway,3.53
63,,Oman,0.56
64,,Pakistan,0.48
65,,Panama,1.29
66,,Peru,0.83
67,,Philippines,0.85
68,,Poland,0.62
69,,Portugal,0.63
70,,Puerto Rico,1.48
71,,Qatar,0.60
72,,Romania,0.74
73,,Russia,0.90
74,,Saudi Arabia,0.56
75,,Serbia,0.56
76,,Singapore,1.43
77,,Slovakia,0.82
78,,Slovenia,0.79
79,,South Africa,1.22
80,,South Korea,1.05
81,,Spain,0.79
82,,Sri Lanka,0.73
83,,Sweden,2.10
84,,Switzerland,1.15
85,,Taiwan,1.04
86,,Thailand,0.51
87,,Trinidad And Tobago,1.20
88,,Tunisia,0.35
89,,Turkey,0.55
90,,Ukraine,0.57
91,,United Arab Emirates,0.56
92,,United Kingdom,1.62
93,,United States,1.81
94,,Uruguay,1.31
95,,Venezuela,2.54
96,,Vietnam,0.56
