,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,2.58
1,,Argentina,0.98
2,,Australia,2.08
3,,Austria,1.67
4,,Bahrain,0.57
5,,Bangladesh,0.48
6,,Belarus,0.46
7,,Belgium,2.47
8,,Bosnia And Herzegovina,0.63
9,,Brazil,1.23
10,,Bulgaria,0.44
11,,Cambodia,1.00
12,,Canada,1.70
13,,Chile,1.88
14,,China,0.35
15,,Colombia,1.96
16,,Costa Rica,0.90
17,,Croatia,0.82
18,,Cyprus,0.94
19,,Czech Republic,1.25
20,,Denmark,2.08
21,,Dominican Republic,1.28
22,,Ecuador,1.00
23,,Egypt,0.37
24,,Estonia,0.68
25,,Finland,1.83
26,,France,1.10
27,,Georgia,0.40
28,,Germany,2.22
29,,Greece,0.99
30,,Hong Kong,0.97
31,,Hungary,0.99
32,,Iceland,1.88
33,,India,0.27
34,,Indonesia,0.32
35,,Iran,0.40
36,,Iraq,1.03
37,,Ireland,1.67
38,,Israel,0.77
39,,Italy,1.41
40,,Japan,3.44
41,,Jordan,0.41
42,,Kazakhstan,0.77
43,,Kenya,1.99
44,,Kuwait,1.78
45,,Latvia,0.80
46,,Lebanon,7.00
47,,Lithuania,0.72
48,,Luxembourg,4.63
49,,Macedonia,0.45
50,,Malaysia,0.63
51,,Malta,2.72
52,,Mauritius,1.74
53,,Mexico,0.45
54,,Morocco,0.62
55,,Nepal,0.49
56,,Netherlands,2.47
57,,New Zealand,2.11
58,,Nigeria,2.00
59,,Norway,2.45
60,,Oman,1.32
61,,Pakistan,0.38
62,,Peru,1.25
63,,Philippines,0.32
64,,Poland,0.68
65,,Portugal,0.64
66,,Puerto Rico,1.29
67,,Qatar,1.01
68,,Romania,0.41
69,,Russia,0.45
70,,Saudi Arabia,1.00
71,,Serbia,0.64
72,,Singapore,0.47
73,,Slovakia,0.74
74,,Slovenia,1.11
75,,South Africa,1.06
76,,South Korea,1.70
77,,Spain,1.23
78,,Sri Lanka,0.38
79,,Sweden,1.65
80,,Switzerland,3.61
81,,Taiwan,0.67
82,,Tanzania,0.80
83,,Thailand,0.17
84,,Tunisia,0.40
85,,Turkey,0.94
86,,Ukraine,0.38
87,,United Arab Emirates,0.44
88,,United Kingdom,2.04
89,,United States,1.49
90,,Uruguay,1.71
91,,Venezuela,2.00
92,,Vietnam,0.54
