,Rank,City,Water (1.5 liter bottle)
0,,Algeria,0.34
1,,Argentina,1.50
2,,Australia,2.59
3,,Austria,0.66
4,,Azerbaijan,0.89
5,,Bahrain,1.28
6,,Bangladesh,0.35
7,,Belarus,0.81
8,,Belgium,1.16
9,,Bosnia And Herzegovina,0.74
10,,Brazil,1.02
11,,Bulgaria,0.56
12,,Canada,2.02
13,,Chile,1.33
14,,China,0.65
15,,Colombia,1.27
16,,Costa Rica,1.93
17,,Croatia,1.08
18,,Cyprus,1.02
19,,Czech Republic,0.62
20,,Denmark,1.53
21,,Dominican Republic,1.16
22,,Ecuador,1.04
23,,Egypt,0.43
24,,Estonia,0.81
25,,Ethiopia,0.67
26,,Finland,2.52
27,,France,1.23
28,,Georgia,0.63
29,,Germany,0.61
30,,Ghana,0.89
31,,Greece,1.04
32,,Hong Kong,1.73
33,,Hungary,0.43
34,,Iceland,-
35,,India,0.42
36,,Indonesia,0.49
37,,Iran,0.39
38,,Iraq,0.79
39,,Ireland,1.95
40,,Israel,1.20
41,,Italy,0.58
42,,Jamaica,1.58
43,,Japan,1.35
44,,Jordan,0.62
45,,Kazakhstan,0.86
46,,Kenya,1.14
47,,Kuwait,0.50
48,,Latvia,0.89
49,,Lebanon,0.80
50,,Lithuania,0.78
51,,Luxembourg,1.36
52,,Macedonia,0.51
53,,Malaysia,0.73
54,,Malta,0.70
55,,Mexico,0.98
56,,Moldova,0.68
57,,Morocco,0.69
58,,Nepal,0.37
59,,Netherlands,1.02
60,,New Zealand,1.99
61,,Nigeria,0.80
62,,Norway,3.47
63,,Oman,0.51
64,,Pakistan,0.49
65,,Panama,1.51
66,,Peru,1.04
67,,Philippines,0.76
68,,Poland,0.59
69,,Portugal,0.72
70,,Puerto Rico,1.76
71,,Qatar,0.52
72,,Romania,0.73
73,,Russia,1.03
74,,Saudi Arabia,0.56
75,,Serbia,0.60
76,,Singapore,1.43
77,,Slovakia,0.82
78,,Slovenia,0.77
79,,South Africa,1.27
80,,South Korea,1.10
81,,Spain,0.70
82,,Sri Lanka,0.67
83,,Sweden,2.13
84,,Switzerland,1.27
85,,Syria,0.44
86,,Taiwan,1.06
87,,Tanzania,0.86
88,,Thailand,0.53
89,,Trinidad And Tobago,1.61
90,,Tunisia,0.37
91,,Turkey,0.61
92,,Ukraine,0.75
93,,United Arab Emirates,0.53
94,,United Kingdom,1.54
95,,United States,1.72
96,,Uruguay,1.43
97,,Venezuela,2.31
98,,Vietnam,0.64
