,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Albania,46.88
1,,Algeria,51.51
2,,Argentina,102.24
3,,Armenia,57.74
4,,Australia,72.84
5,,Austria,95.54
6,,Azerbaijan,42.56
7,,Bahrain,49.34
8,,Bangladesh,39.56
9,,Belarus,63.55
10,,Belgium,100.23
11,,Bolivia,69.09
12,,Bosnia And Herzegovina,64.24
13,,Brazil,55.56
14,,Bulgaria,51.69
15,,Cambodia,26.14
16,,Canada,48.19
17,,Chile,51.54
18,,China,79.58
19,,Colombia,56.90
20,,Costa Rica,66.31
21,,Croatia,79.75
22,,Cyprus,66.79
23,,Czech Republic,68.21
24,,Denmark,110.08
25,,Dominican Republic,57.29
26,,Ecuador,75.66
27,,Egypt,56.03
28,,El Salvador,49.00
29,,Estonia,73.52
30,,Finland,98.12
31,,France,95.66
32,,Georgia,52.71
33,,Germany,86.54
34,,Greece,83.15
35,,Guatemala,55.83
36,,Hong Kong,87.97
37,,Hungary,67.04
38,,Iceland,139.21
39,,India,34.55
40,,Indonesia,42.36
41,,Iran,47.47
42,,Iraq,35.48
43,,Ireland,85.79
44,,Israel,84.31
45,,Italy,91.19
46,,Jamaica,36.28
47,,Japan,65.15
48,,Jordan,70.11
49,,Kazakhstan,46.01
50,,Kenya,26.18
51,,Kosovo (Disputed Territory),35.95
52,,Kuwait,56.19
53,,Latvia,68.38
54,,Lebanon,79.78
55,,Lithuania,74.09
56,,Luxembourg,73.56
57,,Macedonia,44.96
58,,Malaysia,57.78
59,,Malta,86.72
60,,Mauritius,70.80
61,,Mexico,39.35
62,,Moldova,51.87
63,,Montenegro,60.54
64,,Morocco,39.90
65,,Nepal,29.57
66,,Netherlands,93.38
67,,New Zealand,72.35
68,,Nigeria,22.30
69,,Norway,104.62
70,,Oman,46.09
71,,Pakistan,23.31
72,,Panama,48.57
73,,Peru,43.76
74,,Philippines,49.81
75,,Poland,64.84
76,,Portugal,87.74
77,,Puerto Rico,38.12
78,,Qatar,66.69
79,,Romania,53.72
80,,Russia,73.44
81,,Saudi Arabia,50.33
82,,Serbia,66.79
83,,Singapore,73.98
84,,Slovakia,63.00
85,,Slovenia,91.48
86,,South Africa,47.99
87,,South Korea,61.54
88,,Spain,85.40
89,,Sri Lanka,39.03
90,,Sweden,107.40
91,,Switzerland,117.77
92,,Taiwan,76.56
93,,Thailand,59.83
94,,Trinidad And Tobago,64.72
95,,Tunisia,47.64
96,,Turkey,48.26
97,,Ukraine,57.89
98,,United Arab Emirates,72.24
99,,United Kingdom,82.91
100,,United States,42.28
101,,Uruguay,88.31
102,,Venezuela,58.12
103,,Vietnam,40.01
104,,Zimbabwe,26.50
