,Rank,City,Cappuccino (regular)
0,,Albania,1.32
1,,Algeria,0.59
2,,Argentina,1.80
3,,Armenia,2.05
4,,Australia,2.98
5,,Austria,3.52
6,,Azerbaijan,2.19
7,,Bahrain,4.55
8,,Bangladesh,2.24
9,,Belarus,1.42
10,,Belgium,3.19
11,,Bolivia,2.67
12,,Bosnia And Herzegovina,1.21
13,,Brazil,1.21
14,,Bulgaria,1.43
15,,Cambodia,2.51
16,,Canada,3.10
17,,Chile,2.56
18,,China,3.69
19,,Colombia,1.14
20,,Costa Rica,2.62
21,,Croatia,1.66
22,,Cyprus,3.49
23,,Czech Republic,2.20
24,,Denmark,5.88
25,,Dominican Republic,1.96
26,,Ecuador,2.37
27,,Egypt,1.90
28,,Estonia,3.06
29,,Finland,4.20
30,,France,3.38
31,,Georgia,1.67
32,,Germany,3.17
33,,Ghana,2.41
34,,Greece,3.34
35,,Guatemala,2.20
36,,Hong Kong,4.80
37,,Hungary,1.52
38,,Iceland,4.12
39,,India,1.74
40,,Indonesia,1.92
41,,Iran,1.95
42,,Iraq,2.20
43,,Ireland,3.69
44,,Israel,3.71
45,,Italy,1.56
46,,Japan,3.75
47,,Jordan,3.88
48,,Kazakhstan,1.79
49,,Kenya,2.56
50,,Kosovo (Disputed Territory),1.03
51,,Kuwait,4.99
52,,Latvia,2.79
53,,Lebanon,4.78
54,,Lithuania,2.73
55,,Luxembourg,3.87
56,,Malaysia,2.57
57,,Malta,2.49
58,,Mauritius,2.13
59,,Mexico,2.05
60,,Moldova,1.37
61,,Montenegro,1.66
62,,Morocco,1.55
63,,Nepal,1.52
64,,Netherlands,3.27
65,,New Zealand,2.97
66,,Nigeria,1.91
67,,North Macedonia,1.43
68,,Norway,4.52
69,,Oman,4.33
70,,Pakistan,1.57
71,,Panama,2.91
72,,Peru,2.47
73,,Philippines,2.52
74,,Poland,2.50
75,,Portugal,1.68
76,,Puerto Rico,2.70
77,,Qatar,4.59
78,,Romania,1.95
79,,Russia,1.96
80,,Saudi Arabia,3.14
81,,Serbia,1.46
82,,Singapore,3.93
83,,Slovakia,2.23
84,,Slovenia,1.79
85,,South Africa,1.60
86,,South Korea,3.74
87,,Spain,1.92
88,,Sri Lanka,2.05
89,,Sweden,4.12
90,,Switzerland,4.92
91,,Syria,1.06
92,,Taiwan,2.77
93,,Tanzania,2.07
94,,Thailand,1.95
95,,Trinidad And Tobago,3.43
96,,Tunisia,0.83
97,,Turkey,1.89
98,,Uganda,2.11
99,,Ukraine,1.20
100,,United Arab Emirates,4.98
101,,United Kingdom,3.48
102,,United States,4.34
103,,Uruguay,2.80
104,,Uzbekistan,1.55
105,,Venezuela,1.62
106,,Vietnam,1.69
