,Rank,City,1 Pair of Men Leather Business Shoes
0,,Algeria,94.72
1,,Argentina,112.67
2,,Australia,134.36
3,,Austria,101.04
4,,Azerbaijan,124.40
5,,Bahrain,106.76
6,,Bangladesh,33.78
7,,Belarus,107.45
8,,Belgium,135.22
9,,Bosnia And Herzegovina,85.69
10,,Brazil,96.14
11,,Bulgaria,65.00
12,,Canada,105.66
13,,Chile,89.59
14,,China,105.67
15,,Colombia,74.37
16,,Costa Rica,69.82
17,,Croatia,92.76
18,,Cyprus,113.09
19,,Czech Republic,83.46
20,,Denmark,128.05
21,,Dominican Republic,99.78
22,,Ecuador,70.00
23,,Egypt,59.13
24,,Estonia,86.58
25,,Ethiopia,62.50
26,,Finland,126.80
27,,France,127.16
28,,Georgia,99.80
29,,Germany,115.93
30,,Ghana,-
31,,Greece,109.90
32,,Hong Kong,96.65
33,,Hungary,95.66
34,,Iceland,210.16
35,,India,39.77
36,,Indonesia,60.23
37,,Iran,76.22
38,,Iraq,46.74
39,,Ireland,94.32
40,,Israel,123.83
41,,Italy,142.53
42,,Jamaica,84.19
43,,Japan,109.08
44,,Jordan,102.11
45,,Kazakhstan,140.27
46,,Kenya,39.47
47,,Kuwait,114.94
48,,Latvia,129.74
49,,Lebanon,121.94
50,,Lithuania,113.04
51,,Luxembourg,-
52,,Macedonia,80.41
53,,Malaysia,79.99
54,,Malta,-
55,,Mexico,60.45
56,,Moldova,107.76
57,,Morocco,56.02
58,,Nepal,40.17
59,,Netherlands,161.65
60,,New Zealand,113.93
61,,Nigeria,100.07
62,,Norway,193.04
63,,Oman,56.14
64,,Pakistan,36.62
65,,Panama,68.75
66,,Peru,88.72
67,,Philippines,67.42
68,,Poland,80.09
69,,Portugal,99.63
70,,Puerto Rico,84.08
71,,Qatar,117.86
72,,Romania,76.71
73,,Russia,128.24
74,,Saudi Arabia,71.69
75,,Serbia,94.25
76,,Singapore,108.06
77,,Slovakia,81.74
78,,Slovenia,106.68
79,,South Africa,70.88
80,,South Korea,133.17
81,,Spain,108.91
82,,Sri Lanka,32.32
83,,Sweden,143.78
84,,Switzerland,151.20
85,,Syria,39.84
86,,Taiwan,104.56
87,,Tanzania,49.02
88,,Thailand,79.77
89,,Trinidad And Tobago,86.83
90,,Tunisia,63.91
91,,Turkey,69.19
92,,Ukraine,105.48
93,,United Arab Emirates,97.38
94,,United Kingdom,85.98
95,,United States,84.66
96,,Uruguay,147.06
97,,Venezuela,244.40
98,,Vietnam,38.79
