,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,48.06
1,,Algeria,38.73
2,,Argentina,65.80
3,,Armenia,51.49
4,,Australia,61.51
5,,Austria,55.18
6,,Azerbaijan,36.71
7,,Bahrain,47.75
8,,Bangladesh,33.87
9,,Belarus,74.53
10,,Belgium,51.50
11,,Bosnia And Herzegovina,30.31
12,,Brazil,71.06
13,,Bulgaria,42.70
14,,Cambodia,13.75
15,,Canada,38.16
16,,Chile,40.83
17,,China,43.68
18,,Colombia,50.55
19,,Costa Rica,56.75
20,,Croatia,45.13
21,,Cyprus,41.96
22,,Czech Republic,38.32
23,,Denmark,43.59
24,,Dominican Republic,52.16
25,,Ecuador,61.40
26,,Egypt,58.28
27,,Estonia,54.28
28,,Finland,39.23
29,,France,54.35
30,,Georgia,73.44
31,,Germany,52.32
32,,Greece,40.29
33,,Hong Kong,47.51
34,,Hungary,41.88
35,,Iceland,79.26
36,,India,36.06
37,,Indonesia,36.05
38,,Iran,50.15
39,,Iraq,39.07
40,,Ireland,46.79
41,,Israel,56.19
42,,Italy,40.72
43,,Jamaica,33.06
44,,Japan,39.40
45,,Jordan,75.56
46,,Kazakhstan,65.72
47,,Kenya,36.28
48,,Kuwait,51.40
49,,Latvia,52.92
50,,Lebanon,50.79
51,,Lithuania,49.73
52,,Luxembourg,33.56
53,,Macedonia,47.52
54,,Malaysia,41.81
55,,Malta,60.78
56,,Mexico,50.08
57,,Morocco,37.18
58,,Nepal,21.06
59,,Netherlands,46.60
60,,New Zealand,50.88
61,,Nigeria,39.41
62,,Norway,74.24
63,,Oman,52.99
64,,Pakistan,35.67
65,,Panama,24.00
66,,Peru,49.36
67,,Philippines,29.57
68,,Poland,41.73
69,,Portugal,41.92
70,,Puerto Rico,45.18
71,,Qatar,91.75
72,,Romania,40.75
73,,Russia,62.40
74,,Saudi Arabia,54.46
75,,Serbia,43.20
76,,Singapore,49.49
77,,Slovakia,40.02
78,,Slovenia,48.35
79,,South Africa,42.68
80,,South Korea,60.76
81,,Spain,37.32
82,,Sri Lanka,24.70
83,,Sweden,49.44
84,,Switzerland,61.54
85,,Taiwan,39.95
86,,Thailand,45.08
87,,Trinidad And Tobago,41.83
88,,Tunisia,60.09
89,,Turkey,37.02
90,,Ukraine,42.49
91,,United Arab Emirates,63.12
92,,United Kingdom,53.91
93,,United States,37.23
94,,Uruguay,72.70
95,,Venezuela,220.50
96,,Vietnam,15.37
