,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,11.15
1,,Algeria,1.50
2,,Argentina,11.51
3,,Armenia,12.91
4,,Australia,14.53
5,,Austria,21.56
6,,Azerbaijan,20.56
7,,Bahrain,53.05
8,,Bangladesh,12.19
9,,Belarus,15.48
10,,Belgium,19.91
11,,Bolivia,9.88
12,,Bosnia And Herzegovina,11.85
13,,Brazil,24.90
14,,Brunei,6.57
15,,Bulgaria,12.09
16,,Cambodia,-
17,,Canada,16.41
18,,Chile,18.18
19,,China,12.03
20,,Colombia,8.23
21,,Costa Rica,24.71
22,,Croatia,11.28
23,,Cyprus,28.58
24,,Czech Republic,12.21
25,,Denmark,29.13
26,,Dominican Republic,15.09
27,,Ecuador,18.69
28,,Egypt,7.40
29,,El Salvador,22.00
30,,Estonia,25.63
31,,Ethiopia,-
32,,Finland,25.17
33,,France,17.14
34,,Georgia,9.75
35,,Germany,23.32
36,,Greece,17.94
37,,Guatemala,29.17
38,,Honduras,13.79
39,,Hong Kong,8.25
40,,Hungary,13.03
41,,Iceland,38.61
42,,India,7.26
43,,Indonesia,7.65
44,,Iran,17.91
45,,Iraq,12.40
46,,Ireland,17.70
47,,Israel,22.85
48,,Italy,20.19
49,,Jamaica,-
50,,Japan,24.21
51,,Jordan,32.50
52,,Kazakhstan,10.22
53,,Kenya,7.92
54,,Kosovo (Disputed Territory),6.40
55,,Kuwait,27.93
56,,Latvia,21.12
57,,Lebanon,27.13
58,,Lithuania,22.05
59,,Luxembourg,30.78
60,,Macedonia,9.00
61,,Malaysia,5.56
62,,Malta,21.39
63,,Mauritius,-
64,,Mexico,13.81
65,,Moldova,10.32
66,,Montenegro,9.61
67,,Morocco,16.31
68,,Namibia,13.72
69,,Nepal,9.63
70,,Netherlands,24.30
71,,New Zealand,11.05
72,,Nigeria,5.68
73,,Norway,30.21
74,,Oman,31.50
75,,Pakistan,6.87
76,,Palestinian Territory,-
77,,Panama,20.83
78,,Peru,10.21
79,,Philippines,6.06
80,,Poland,12.76
81,,Portugal,12.59
82,,Puerto Rico,-
83,,Qatar,26.63
84,,Romania,12.97
85,,Russia,18.38
86,,Saudi Arabia,25.49
87,,Serbia,12.05
88,,Singapore,9.96
89,,Slovakia,13.96
90,,Slovenia,14.78
91,,South Africa,8.80
92,,South Korea,17.38
93,,Spain,13.49
94,,Sri Lanka,6.06
95,,Sweden,23.04
96,,Switzerland,31.93
97,,Taiwan,11.73
98,,Thailand,9.06
99,,Trinidad And Tobago,5.69
100,,Tunisia,8.04
101,,Turkey,13.57
102,,Uganda,-
103,,Ukraine,10.31
104,,United Arab Emirates,33.05
105,,United Kingdom,12.93
106,,United States,15.33
107,,Uruguay,10.31
108,,Uzbekistan,-
109,,Venezuela,4.83
110,,Vietnam,7.26
