,Rank,City,Oranges (1kg)
0,,Albania,0.98
1,,Algeria,1.59
2,,Argentina,1.37
3,,Armenia,1.33
4,,Australia,2.76
5,,Austria,2.39
6,,Azerbaijan,1.50
7,,Bahrain,-
8,,Bangladesh,1.73
9,,Belarus,1.50
10,,Belgium,2.30
11,,Bolivia,0.64
12,,Bosnia And Herzegovina,1.17
13,,Brazil,1.09
14,,Bulgaria,1.16
15,,Cambodia,-
16,,Canada,2.70
17,,Chile,1.26
18,,China,1.74
19,,Colombia,0.99
20,,Costa Rica,2.14
21,,Croatia,1.43
22,,Cyprus,1.62
23,,Czech Republic,1.44
24,,Denmark,2.81
25,,Dominican Republic,1.45
26,,Ecuador,1.63
27,,Egypt,0.38
28,,Estonia,1.62
29,,Finland,1.98
30,,France,2.30
31,,Georgia,1.29
32,,Germany,2.65
33,,Greece,1.05
34,,Guatemala,-
35,,Hong Kong,2.74
36,,Hungary,1.39
37,,Iceland,3.03
38,,India,0.97
39,,Indonesia,2.09
40,,Iran,1.22
41,,Iraq,1.06
42,,Ireland,2.48
43,,Israel,1.63
44,,Italy,1.93
45,,Jamaica,-
46,,Japan,4.71
47,,Jordan,1.25
48,,Kazakhstan,2.11
49,,Kenya,1.59
50,,Kosovo (Disputed Territory),1.08
51,,Kuwait,1.80
52,,Latvia,1.61
53,,Lebanon,1.08
54,,Lithuania,1.56
55,,Luxembourg,-
56,,Macedonia,0.85
57,,Malaysia,2.31
58,,Malta,2.17
59,,Mauritius,-
60,,Mexico,0.77
61,,Moldova,1.36
62,,Montenegro,1.04
63,,Morocco,0.53
64,,Nepal,1.09
65,,Netherlands,1.98
66,,New Zealand,2.67
67,,Nigeria,2.27
68,,Norway,2.68
69,,Oman,1.56
70,,Pakistan,0.96
71,,Panama,3.12
72,,Peru,1.01
73,,Philippines,2.44
74,,Poland,1.23
75,,Portugal,1.28
76,,Puerto Rico,-
77,,Qatar,1.60
78,,Romania,1.11
79,,Russia,1.38
80,,Saudi Arabia,1.40
81,,Serbia,1.09
82,,Singapore,2.85
83,,Slovakia,1.50
84,,Slovenia,1.81
85,,South Africa,1.61
86,,South Korea,5.71
87,,Spain,1.54
88,,Sri Lanka,1.80
89,,Sweden,2.77
90,,Switzerland,3.25
91,,Taiwan,2.50
92,,Tanzania,1.30
93,,Thailand,2.21
94,,Trinidad And Tobago,-
95,,Tunisia,0.55
96,,Turkey,0.85
97,,Ukraine,1.14
98,,United Arab Emirates,1.99
99,,United Kingdom,2.09
100,,United States,3.97
101,,Uruguay,1.22
102,,Venezuela,0.52
103,,Vietnam,1.73
104,,Zimbabwe,-
