,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.42
1,,Algeria,1.92
2,,Argentina,2.01
3,,Armenia,1.27
4,,Australia,3.91
5,,Austria,1.71
6,,Azerbaijan,2.06
7,,Bahrain,3.32
8,,Bangladesh,5.32
9,,Belarus,1.59
10,,Belgium,2.29
11,,Bolivia,2.93
12,,Bosnia And Herzegovina,1.03
13,,Brazil,2.26
14,,Bulgaria,1.37
15,,Cambodia,1.92
16,,Canada,2.44
17,,Chile,2.13
18,,China,1.94
19,,Colombia,1.55
20,,Costa Rica,2.97
21,,Croatia,2.04
22,,Cyprus,2.12
23,,Czech Republic,1.48
24,,Denmark,2.50
25,,Dominican Republic,2.88
26,,Ecuador,2.55
27,,Egypt,2.37
28,,Estonia,1.80
29,,Finland,3.24
30,,France,2.46
31,,Georgia,1.31
32,,Germany,1.57
33,,Ghana,1.86
34,,Greece,2.25
35,,Guatemala,1.96
36,,Hong Kong,2.18
37,,Hungary,1.18
38,,Iceland,2.96
39,,India,2.89
40,,Indonesia,3.25
41,,Iran,1.00
42,,Iraq,2.04
43,,Ireland,3.10
44,,Israel,3.13
45,,Italy,2.06
46,,Japan,2.88
47,,Jordan,6.32
48,,Kazakhstan,1.52
49,,Kenya,2.23
50,,Kosovo (Disputed Territory),0.85
51,,Kuwait,-
52,,Latvia,1.78
53,,Lebanon,3.24
54,,Lithuania,1.65
55,,Luxembourg,-
56,,Malaysia,3.28
57,,Malta,2.32
58,,Mauritius,-
59,,Mexico,1.87
60,,Moldova,1.37
61,,Montenegro,1.26
62,,Morocco,2.33
63,,Nepal,3.10
64,,Netherlands,1.97
65,,New Zealand,2.93
66,,Nigeria,1.11
67,,North Macedonia,1.16
68,,Norway,4.17
69,,Oman,9.49
70,,Pakistan,1.98
71,,Panama,1.84
72,,Peru,2.27
73,,Philippines,2.06
74,,Poland,1.28
75,,Portugal,2.38
76,,Puerto Rico,2.79
77,,Qatar,9.24
78,,Romania,1.29
79,,Russia,1.70
80,,Saudi Arabia,1.87
81,,Serbia,1.14
82,,Singapore,4.67
83,,Slovakia,1.63
84,,Slovenia,1.97
85,,South Africa,1.64
86,,South Korea,2.57
87,,Spain,1.74
88,,Sri Lanka,2.37
89,,Sweden,1.93
90,,Switzerland,2.49
91,,Syria,-
92,,Taiwan,1.86
93,,Tanzania,1.73
94,,Thailand,2.64
95,,Trinidad And Tobago,3.04
96,,Tunisia,1.00
97,,Turkey,2.52
98,,Uganda,1.52
99,,Ukraine,1.27
100,,United Arab Emirates,4.45
101,,United Kingdom,2.37
102,,United States,2.70
103,,Uruguay,1.88
104,,Uzbekistan,2.19
105,,Venezuela,2.54
106,,Vietnam,1.31
