,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,1.94
1,,Algeria,0.25
2,,Argentina,1.50
3,,Armenia,0.21
4,,Australia,1.52
5,,Austria,1.55
6,,Azerbaijan,0.67
7,,Bahrain,-
8,,Bangladesh,0.44
9,,Belarus,0.35
10,,Belgium,2.19
11,,Bosnia And Herzegovina,0.56
12,,Brazil,0.86
13,,Bulgaria,0.44
14,,Cambodia,0.75
15,,Canada,1.43
16,,Chile,1.60
17,,China,0.39
18,,Colombia,1.44
19,,Costa Rica,1.20
20,,Croatia,0.87
21,,Cyprus,1.07
22,,Czech Republic,1.00
23,,Denmark,2.34
24,,Dominican Republic,3.57
25,,Ecuador,1.00
26,,Egypt,0.20
27,,Estonia,0.63
28,,Finland,1.69
29,,France,1.64
30,,Georgia,0.22
31,,Germany,2.13
32,,Greece,0.81
33,,Guatemala,-
34,,Hong Kong,1.03
35,,Hungary,0.99
36,,Iceland,2.25
37,,India,0.24
38,,Indonesia,0.30
39,,Iran,0.50
40,,Iraq,1.88
41,,Ireland,1.37
42,,Israel,1.16
43,,Italy,1.28
44,,Jamaica,2.45
45,,Japan,2.40
46,,Jordan,0.49
47,,Kazakhstan,0.54
48,,Kenya,2.05
49,,Kuwait,3.30
50,,Latvia,0.70
51,,Lebanon,1.50
52,,Lithuania,0.75
53,,Luxembourg,-
54,,Macedonia,0.44
55,,Malaysia,0.43
56,,Malta,1.64
57,,Mauritius,1.42
58,,Mexico,0.52
59,,Moldova,0.17
60,,Montenegro,0.49
61,,Morocco,0.51
62,,Nepal,0.49
63,,Netherlands,2.30
64,,New Zealand,2.13
65,,Nigeria,1.00
66,,Norway,1.76
67,,Oman,0.65
68,,Pakistan,0.49
69,,Panama,1.50
70,,Peru,1.58
71,,Philippines,0.34
72,,Poland,0.58
73,,Portugal,0.55
74,,Puerto Rico,1.25
75,,Qatar,0.33
76,,Romania,0.37
77,,Russia,0.34
78,,Saudi Arabia,1.33
79,,Serbia,0.59
80,,Singapore,0.41
81,,Slovakia,0.66
82,,Slovenia,0.97
83,,South Africa,0.82
84,,South Korea,1.08
85,,Spain,1.15
86,,Sri Lanka,0.35
87,,Sweden,1.72
88,,Switzerland,4.02
89,,Taiwan,0.65
90,,Tanzania,1.41
91,,Thailand,0.24
92,,Trinidad And Tobago,-
93,,Tunisia,0.41
94,,Turkey,0.75
95,,Ukraine,0.24
96,,United Arab Emirates,0.54
97,,United Kingdom,1.98
98,,United States,1.62
99,,Uruguay,0.89
100,,Venezuela,0.90
101,,Vietnam,0.55
102,,Zimbabwe,-
