,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,2.23
1,,Algeria,1.95
2,,Argentina,2.42
3,,Armenia,1.65
4,,Australia,6.05
5,,Austria,4.45
6,,Azerbaijan,2.32
7,,Bahrain,7.97
8,,Bangladesh,7.06
9,,Belarus,2.07
10,,Belgium,3.90
11,,Bolivia,3.62
12,,Bosnia And Herzegovina,1.71
13,,Brazil,2.80
14,,Bulgaria,1.99
15,,Cambodia,2.00
16,,Canada,5.82
17,,Chile,3.75
18,,China,2.80
19,,Colombia,2.01
20,,Costa Rica,4.00
21,,Croatia,2.93
22,,Cyprus,4.45
23,,Czech Republic,2.07
24,,Denmark,6.72
25,,Dominican Republic,4.44
26,,Ecuador,4.00
27,,Egypt,3.17
28,,Estonia,4.45
29,,Finland,6.68
30,,France,5.57
31,,Georgia,1.57
32,,Germany,3.90
33,,Ghana,-
34,,Greece,4.45
35,,Guatemala,1.95
36,,Hong Kong,6.45
37,,Hungary,1.93
38,,Iceland,8.85
39,,India,3.72
40,,Indonesia,3.45
41,,Iran,1.13
42,,Iraq,3.01
43,,Ireland,5.73
44,,Israel,8.57
45,,Italy,4.45
46,,Japan,5.58
47,,Jordan,7.40
48,,Kazakhstan,2.06
49,,Kenya,2.81
50,,Kosovo (Disputed Territory),1.67
51,,Kuwait,-
52,,Latvia,3.34
53,,Lebanon,5.50
54,,Lithuania,3.34
55,,Luxembourg,5.57
56,,Malaysia,3.76
57,,Malta,3.90
58,,Mauritius,1.69
59,,Mexico,2.27
60,,Moldova,1.72
61,,Montenegro,2.23
62,,Morocco,3.06
63,,Nepal,3.72
64,,Netherlands,4.45
65,,New Zealand,6.24
66,,Nigeria,1.23
67,,North Macedonia,1.99
68,,Norway,9.31
69,,Oman,9.10
70,,Pakistan,5.77
71,,Panama,3.00
72,,Peru,3.49
73,,Philippines,2.39
74,,Poland,2.51
75,,Portugal,2.78
76,,Puerto Rico,3.00
77,,Qatar,12.27
78,,Romania,2.29
79,,Russia,2.57
80,,Saudi Arabia,1.60
81,,Serbia,2.24
82,,Singapore,8.17
83,,Slovakia,2.23
84,,Slovenia,3.90
85,,South Africa,2.29
86,,South Korea,4.89
87,,Spain,3.34
88,,Sri Lanka,2.95
89,,Sweden,7.35
90,,Switzerland,6.25
91,,Syria,2.96
92,,Taiwan,2.67
93,,Tanzania,2.59
94,,Thailand,3.78
95,,Trinidad And Tobago,2.81
96,,Tunisia,2.09
97,,Turkey,2.94
98,,Uganda,1.59
99,,Ukraine,1.57
100,,United Arab Emirates,12.25
101,,United Kingdom,4.95
102,,United States,6.00
103,,Uruguay,3.46
104,,Uzbekistan,2.00
105,,Venezuela,2.70
106,,Vietnam,1.50
