,Rank,City,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car)
0,,Albania,17401.99
1,,Algeria,23631.73
2,,Argentina,20984.65
3,,Armenia,18565.91
4,,Australia,17872.25
5,,Austria,23187.84
6,,Azerbaijan,19702.64
7,,Bahamas,-
8,,Bahrain,19200.57
9,,Bangladesh,29095.53
10,,Belarus,19193.19
11,,Belgium,26743.45
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,19616.79
15,,Brazil,24241.35
16,,Bulgaria,19840.99
17,,Cambodia,-
18,,Canada,17781.27
19,,Chile,16731.82
20,,China,20178.72
21,,Colombia,22576.13
22,,Costa Rica,26752.54
23,,Croatia,22192.93
24,,Cyprus,20981.74
25,,Czech Republic,20104.83
26,,Denmark,37723.47
27,,Dominican Republic,26347.98
28,,Ecuador,30288.39
29,,Egypt,22363.34
30,,El Salvador,20333.33
31,,Estonia,19788.95
32,,Fiji,-
33,,Finland,28546.08
34,,France,24766.02
35,,Georgia,14876.78
36,,Germany,23474.64
37,,Ghana,-
38,,Greece,21314.32
39,,Guatemala,18396.07
40,,Hong Kong,27985.52
41,,Hungary,20312.75
42,,Iceland,35365.85
43,,India,23768.16
44,,Indonesia,26759.83
45,,Iran,53858.45
46,,Iraq,16077.44
47,,Ireland,29345.84
48,,Israel,36702.52
49,,Italy,26098.92
50,,Jamaica,27610.90
51,,Japan,19947.83
52,,Jordan,29600.39
53,,Kazakhstan,21151.23
54,,Kenya,13263.43
55,,Kosovo (Disputed Territory),18351.38
56,,Kuwait,17053.78
57,,Latvia,20303.49
58,,Lebanon,20560.20
59,,Lithuania,19664.70
60,,Luxembourg,-
61,,Macedonia,20664.03
62,,Malaysia,29189.91
63,,Malta,28561.35
64,,Mauritius,36215.35
65,,Mexico,14931.95
66,,Moldova,-
67,,Montenegro,19280.63
68,,Morocco,21131.74
69,,Namibia,21502.88
70,,Nepal,53283.06
71,,Netherlands,29108.03
72,,New Zealand,20369.17
73,,Nigeria,32767.63
74,,Norway,36529.82
75,,Oman,19183.42
76,,Pakistan,18612.13
77,,Panama,19329.08
78,,Peru,18316.08
79,,Philippines,19413.56
80,,Poland,19994.60
81,,Portugal,27380.30
82,,Puerto Rico,22933.33
83,,Qatar,18123.84
84,,Romania,19855.44
85,,Russia,18683.25
86,,Saudi Arabia,17252.24
87,,Serbia,19378.67
88,,Singapore,77069.46
89,,Slovakia,17987.98
90,,Slovenia,22694.54
91,,South Africa,22040.14
92,,South Korea,26263.98
93,,Spain,22679.38
94,,Sri Lanka,41120.41
95,,Sweden,22153.28
96,,Switzerland,25485.77
97,,Taiwan,24589.11
98,,Tanzania,6003.20
99,,Thailand,25708.83
100,,Trinidad And Tobago,31376.96
101,,Tunisia,23990.54
102,,Turkey,23297.65
103,,Uganda,-
104,,Ukraine,20925.84
105,,United Arab Emirates,17337.66
106,,United Kingdom,24914.65
107,,United States,20450.17
108,,Uruguay,31576.05
109,,Uzbekistan,19500.00
110,,Venezuela,29588.24
111,,Vietnam,35927.11
112,,Zimbabwe,-
