,Rank,City,Local Cheese (1kg)
0,,Argentina,10.04
1,,Australia,10.20
2,,Austria,18.20
3,,Bangladesh,8.00
4,,Belgium,16.74
5,,Bosnia And Herzegovina,6.40
6,,Brazil,10.20
7,,Bulgaria,6.35
8,,Canada,9.91
9,,Chile,10.08
10,,China,17.85
11,,Colombia,5.37
12,,Costa Rica,9.50
13,,Croatia,8.37
14,,Cyprus,11.87
15,,Czech Republic,9.49
16,,Denmark,15.56
17,,Ecuador,5.00
18,,Egypt,4.81
19,,Estonia,9.78
20,,Finland,11.05
21,,France,13.26
22,,Germany,11.90
23,,Greece,12.26
24,,Hong Kong,11.63
25,,Hungary,8.76
26,,Iceland,12.48
27,,India,4.59
28,,Indonesia,9.41
29,,Iran,4.34
30,,Ireland,12.34
31,,Israel,12.54
32,,Italy,15.60
33,,Japan,15.72
34,,Jordan,8.24
35,,Latvia,9.13
36,,Lebanon,8.50
37,,Lithuania,9.65
38,,Macedonia,5.52
39,,Malaysia,10.18
40,,Malta,12.50
41,,Mexico,6.33
42,,Morocco,13.43
43,,Netherlands,11.07
44,,New Zealand,9.07
45,,Norway,16.61
46,,Pakistan,4.55
47,,Panama,7.14
48,,Peru,6.34
49,,Philippines,7.39
50,,Poland,7.51
51,,Portugal,11.24
52,,Puerto Rico,7.06
53,,Qatar,10.89
54,,Romania,6.13
55,,Russia,9.75
56,,Saudi Arabia,6.88
57,,Serbia,5.85
58,,Singapore,9.27
59,,Slovakia,9.09
60,,Slovenia,12.28
61,,South Africa,9.40
62,,South Korea,12.15
63,,Spain,10.42
64,,Sri Lanka,21.64
65,,Sweden,12.35
66,,Switzerland,23.63
67,,Syria,4.00
68,,Taiwan,20.22
69,,Thailand,20.94
70,,Tunisia,11.43
71,,Turkey,7.30
72,,Ukraine,8.45
73,,United Arab Emirates,10.20
74,,United Kingdom,9.22
75,,United States,9.18
76,,Uruguay,11.49
77,,Venezuela,7.79
78,,Vietnam,7.50
