,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,828.08
1,,Algeria,778.33
2,,Argentina,1982.98
3,,Armenia,942.10
4,,Australia,3999.25
5,,Austria,3885.66
6,,Azerbaijan,714.54
7,,Bahrain,-
8,,Bangladesh,646.14
9,,Belarus,1166.36
10,,Belgium,2814.60
11,,Bolivia,806.03
12,,Bosnia And Herzegovina,1025.02
13,,Brazil,985.18
14,,Bulgaria,1023.05
15,,Cambodia,-
16,,Canada,3413.08
17,,Chile,1984.77
18,,China,4991.99
19,,Colombia,1109.64
20,,Costa Rica,1261.19
21,,Croatia,2171.95
22,,Cyprus,1384.84
23,,Czech Republic,3372.83
24,,Denmark,4025.54
25,,Dominican Republic,586.94
26,,Ecuador,978.50
27,,Egypt,461.04
28,,Estonia,2080.47
29,,Finland,4419.52
30,,France,7124.35
31,,Georgia,743.64
32,,Germany,4633.59
33,,Ghana,-
34,,Greece,1716.29
35,,Guatemala,1102.14
36,,Hong Kong,20276.05
37,,Hungary,1961.92
38,,Iceland,3296.78
39,,India,758.52
40,,Indonesia,1125.54
41,,Iran,1667.80
42,,Iraq,694.06
43,,Ireland,3804.69
44,,Israel,6887.78
45,,Italy,2580.73
46,,Japan,4970.99
47,,Jordan,854.56
48,,Kazakhstan,684.52
49,,Kenya,-
50,,Kosovo (Disputed Territory),775.08
51,,Kuwait,-
52,,Latvia,1400.35
53,,Lebanon,1665.14
54,,Lithuania,1648.41
55,,Luxembourg,8931.70
56,,Malaysia,1217.59
57,,Malta,2746.31
58,,Mauritius,-
59,,Mexico,828.76
60,,Moldova,629.02
61,,Montenegro,1386.65
62,,Morocco,829.37
63,,Nepal,787.98
64,,Netherlands,3913.45
65,,New Zealand,4122.77
66,,Nigeria,-
67,,North Macedonia,891.32
68,,Norway,4814.78
69,,Oman,-
70,,Pakistan,439.30
71,,Panama,1492.01
72,,Peru,1206.93
73,,Philippines,1711.26
74,,Poland,2070.65
75,,Portugal,2178.87
76,,Puerto Rico,944.88
77,,Qatar,3176.39
78,,Romania,1258.31
79,,Russia,1454.68
80,,Saudi Arabia,806.09
81,,Serbia,1458.87
82,,Singapore,9336.20
83,,Slovakia,2230.01
84,,Slovenia,2821.09
85,,South Africa,719.96
86,,South Korea,8252.70
87,,Spain,2429.51
88,,Sri Lanka,-
89,,Sweden,4150.30
90,,Switzerland,8411.11
91,,Syria,884.26
92,,Taiwan,5155.95
93,,Tanzania,-
94,,Thailand,2057.53
95,,Trinidad And Tobago,-
96,,Tunisia,667.91
97,,Turkey,542.90
98,,Uganda,-
99,,Ukraine,686.47
100,,United Arab Emirates,2100.18
101,,United Kingdom,4365.60
102,,United States,2147.90
103,,Uruguay,2058.97
104,,Uzbekistan,472.57
105,,Venezuela,734.90
106,,Vietnam,1239.41
