,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,34.33
1,,Algeria,46.39
2,,Argentina,47.64
3,,Armenia,48.03
4,,Australia,39.17
5,,Austria,38.20
6,,Azerbaijan,43.72
7,,Bahrain,39.03
8,,Bangladesh,24.98
9,,Belarus,36.44
10,,Belgium,39.56
11,,Bolivia,42.60
12,,Bosnia And Herzegovina,31.18
13,,Brazil,40.79
14,,Brunei,-
15,,Bulgaria,28.79
16,,Cambodia,27.14
17,,Canada,33.48
18,,Chile,28.15
19,,China,34.68
20,,Colombia,32.74
21,,Costa Rica,41.60
22,,Croatia,34.92
23,,Cyprus,42.19
24,,Czech Republic,36.15
25,,Denmark,41.15
26,,Dominican Republic,47.93
27,,Ecuador,46.81
28,,Egypt,47.16
29,,El Salvador,37.00
30,,Estonia,34.31
31,,Ethiopia,-
32,,Finland,34.71
33,,France,37.55
34,,Georgia,32.27
35,,Germany,36.77
36,,Greece,32.06
37,,Guatemala,48.30
38,,Honduras,43.00
39,,Hong Kong,33.73
40,,Hungary,30.34
41,,Iceland,52.07
42,,India,33.23
43,,Indonesia,29.96
44,,Iran,40.89
45,,Iraq,25.93
46,,Ireland,39.67
47,,Israel,53.62
48,,Italy,33.49
49,,Jamaica,25.47
50,,Japan,39.90
51,,Jordan,66.42
52,,Kazakhstan,37.62
53,,Kenya,26.61
54,,Kosovo (Disputed Territory),27.98
55,,Kuwait,44.79
56,,Latvia,37.83
57,,Lebanon,48.02
58,,Lithuania,37.00
59,,Luxembourg,42.91
60,,Macedonia,29.37
61,,Malaysia,26.99
62,,Malta,40.78
63,,Mauritius,46.08
64,,Mexico,32.25
65,,Moldova,35.96
66,,Montenegro,33.95
67,,Morocco,37.41
68,,Namibia,24.68
69,,Nepal,29.99
70,,Netherlands,40.02
71,,New Zealand,35.85
72,,Nigeria,25.28
73,,Norway,43.00
74,,Oman,36.37
75,,Pakistan,26.31
76,,Palestinian Territory,77.18
77,,Panama,35.29
78,,Peru,31.55
79,,Philippines,26.13
80,,Poland,33.80
81,,Portugal,32.73
82,,Puerto Rico,48.58
83,,Qatar,50.86
84,,Romania,33.11
85,,Russia,40.45
86,,Saudi Arabia,50.59
87,,Serbia,30.41
88,,Singapore,37.37
89,,Slovakia,30.38
90,,Slovenia,33.96
91,,South Africa,33.24
92,,South Korea,42.57
93,,Spain,30.28
94,,Sri Lanka,19.54
95,,Sweden,35.77
96,,Switzerland,50.60
97,,Taiwan,32.20
98,,Thailand,32.29
99,,Trinidad And Tobago,39.19
100,,Tunisia,34.66
101,,Turkey,25.66
102,,Uganda,-
103,,Ukraine,40.97
104,,United Arab Emirates,50.51
105,,United Kingdom,37.37
106,,United States,34.61
107,,Uruguay,42.20
108,,Uzbekistan,32.00
109,,Venezuela,34.50
110,,Vietnam,31.42
