,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.36
1,,Algeria,0.21
2,,Argentina,0.45
3,,Armenia,0.21
4,,Australia,3.05
5,,Austria,2.69
6,,Azerbaijan,0.18
7,,Bahrain,0.80
8,,Bangladesh,0.36
9,,Belarus,0.30
10,,Belgium,2.35
11,,Bolivia,0.29
12,,Bosnia And Herzegovina,1.03
13,,Brazil,1.10
14,,Brunei,0.73
15,,Bulgaria,0.91
16,,Cambodia,0.88
17,,Canada,2.40
18,,Chile,1.11
19,,China,0.29
20,,Colombia,0.72
21,,Costa Rica,0.72
22,,Croatia,0.75
23,,Cyprus,1.68
24,,Czech Republic,1.04
25,,Denmark,3.59
26,,Dominican Republic,0.47
27,,Ecuador,0.30
28,,Egypt,0.30
29,,El Salvador,0.25
30,,Estonia,1.68
31,,Ethiopia,-
32,,Finland,3.13
33,,France,1.90
34,,Georgia,0.18
35,,Germany,3.13
36,,Greece,1.57
37,,Guatemala,0.26
38,,Honduras,0.61
39,,Hong Kong,1.28
40,,Hungary,1.20
41,,Iceland,3.80
42,,India,0.29
43,,Indonesia,0.28
44,,Iran,0.23
45,,Iraq,0.42
46,,Ireland,2.91
47,,Israel,1.63
48,,Italy,1.68
49,,Jamaica,0.74
50,,Japan,1.85
51,,Jordan,0.71
52,,Kazakhstan,0.24
53,,Kenya,0.79
54,,Kosovo (Disputed Territory),0.45
55,,Kuwait,0.82
56,,Latvia,1.29
57,,Lebanon,1.32
58,,Lithuania,1.12
59,,Luxembourg,2.24
60,,Macedonia,0.63
61,,Malaysia,0.60
62,,Malta,1.68
63,,Mauritius,0.98
64,,Mexico,0.46
65,,Moldova,0.11
66,,Montenegro,1.01
67,,Morocco,0.51
68,,Namibia,0.82
69,,Nepal,0.18
70,,Netherlands,3.58
71,,New Zealand,2.29
72,,Nigeria,0.56
73,,Norway,4.11
74,,Oman,1.30
75,,Pakistan,0.20
76,,Palestinian Territory,0.83
77,,Panama,0.25
78,,Peru,0.44
79,,Philippines,0.19
80,,Poland,0.89
81,,Portugal,1.68
82,,Puerto Rico,-
83,,Qatar,0.82
84,,Romania,0.59
85,,Russia,0.52
86,,Saudi Arabia,0.80
87,,Serbia,0.84
88,,Singapore,1.24
89,,Slovakia,0.78
90,,Slovenia,1.46
91,,South Africa,1.37
92,,South Korea,1.05
93,,Spain,1.68
94,,Sri Lanka,0.14
95,,Sweden,3.37
96,,Switzerland,3.45
97,,Taiwan,0.63
98,,Thailand,0.86
99,,Trinidad And Tobago,0.89
100,,Tunisia,0.20
101,,Turkey,0.51
102,,Uganda,-
103,,Ukraine,0.30
104,,United Arab Emirates,1.36
105,,United Kingdom,3.03
106,,United States,2.50
107,,Uruguay,1.08
108,,Uzbekistan,0.15
109,,Venezuela,0.10
110,,Vietnam,0.30
