,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,4.19
1,,Algeria,3.69
2,,Argentina,8.80
3,,Armenia,4.15
4,,Australia,7.53
5,,Austria,7.84
6,,Azerbaijan,4.72
7,,Bahrain,6.10
8,,Bangladesh,5.27
9,,Belarus,5.00
10,,Belgium,8.96
11,,Bolivia,5.04
12,,Bosnia And Herzegovina,4.58
13,,Brazil,7.59
14,,Bulgaria,4.58
15,,Cambodia,5.00
16,,Canada,6.87
17,,Chile,6.03
18,,China,4.41
19,,Colombia,5.14
20,,Costa Rica,7.05
21,,Croatia,5.29
22,,Cyprus,6.72
23,,Czech Republic,5.35
24,,Denmark,10.54
25,,Dominican Republic,6.99
26,,Ecuador,6.00
27,,Egypt,3.31
28,,Estonia,6.72
29,,Finland,7.84
30,,France,8.96
31,,Georgia,4.98
32,,Germany,7.84
33,,Greece,6.72
34,,Guatemala,5.45
35,,Hong Kong,4.49
36,,Hungary,5.46
37,,Iceland,16.11
38,,India,3.88
39,,Indonesia,3.39
40,,Iran,5.05
41,,Iraq,7.00
42,,Ireland,8.96
43,,Israel,13.30
44,,Italy,8.84
45,,Jamaica,5.46
46,,Japan,6.16
47,,Jordan,7.04
48,,Kazakhstan,4.75
49,,Kenya,5.80
50,,Kosovo (Disputed Territory),2.24
51,,Kuwait,6.59
52,,Latvia,5.60
53,,Lebanon,8.62
54,,Lithuania,5.60
55,,Luxembourg,8.96
56,,Macedonia,3.32
57,,Malaysia,3.05
58,,Malta,8.40
59,,Mauritius,5.18
60,,Mexico,4.68
61,,Moldova,3.86
62,,Montenegro,4.48
63,,Morocco,5.53
64,,Nepal,6.58
65,,Netherlands,8.40
66,,New Zealand,7.94
67,,Nigeria,6.36
68,,Norway,11.77
69,,Oman,6.49
70,,Pakistan,5.25
71,,Panama,6.00
72,,Peru,4.59
73,,Philippines,3.03
74,,Poland,4.82
75,,Portugal,6.72
76,,Puerto Rico,6.25
77,,Qatar,6.56
78,,Romania,4.42
79,,Russia,5.26
80,,Saudi Arabia,5.87
81,,Serbia,4.57
82,,Singapore,5.53
83,,Slovakia,5.60
84,,Slovenia,5.60
85,,South Africa,4.26
86,,South Korea,5.33
87,,Spain,7.84
88,,Sri Lanka,5.08
89,,Sweden,8.60
90,,Switzerland,14.44
91,,Taiwan,3.99
92,,Tanzania,6.27
93,,Thailand,5.28
94,,Trinidad And Tobago,6.70
95,,Tunisia,3.29
96,,Turkey,4.24
97,,Ukraine,2.87
98,,United Arab Emirates,6.81
99,,United Kingdom,6.37
100,,United States,7.00
101,,Uruguay,8.96
102,,Venezuela,3.00
103,,Vietnam,4.08
104,,Zimbabwe,5.00
